                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.000000         0.000000
 15.0   5.0          -0.000085         0.000202
 25.0   5.0          -0.001925         0.004583
 35.0   5.0           0.000408         0.003699
 45.0   5.0           0.003354         0.007598
 55.0   5.0          -0.004306         0.044659
 65.0   5.0          -0.020019         0.042309
 75.0   5.0           0.002073         0.013749
 85.0   5.0          -0.004346         0.032222
 95.0   5.0          -0.003813         0.010732
105.0   5.0           0.003949         0.013272
115.0   5.0           0.017101         0.018027
125.0   5.0           0.018559         0.035026
135.0   5.0          -0.017347         0.047971
145.0   5.0           0.003046         0.018919
155.0   5.0           0.025734         0.080261
165.0   5.0           0.000522         0.038966
175.0   5.0           0.019567         0.055954

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.088031     0.152440    -0.184558     0.356798     0.090919     0.292178     0.000000     0.000000

chi^2/ndf =   2.071/14 =   0.148

------------------------------------------------------------------------------

Channel 255: 145.458 +- 0.718 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.027548         0.046619
 15.0   5.0          -0.007062         0.008810
 25.0   5.0           0.007914         0.054817
 35.0   5.0          -0.026193         0.030546
 45.0   5.0           0.019158         0.027207
 55.0   5.0          -0.015524         0.027105
 65.0   5.0          -0.003988         0.034058
 75.0   5.0          -0.001345         0.026369
 85.0   5.0          -0.018323         0.043885
 95.0   5.0          -0.014731         0.046622
105.0   5.0           0.030222         0.041829
115.0   5.0           0.013719         0.032317
125.0   5.0           0.027540         0.064292
135.0   5.0           0.032135         0.196034
145.0   5.0           0.008636         0.036786
155.0   5.0          -0.029335         0.054396
165.0   5.0          -0.004279         0.052110
175.0   5.0          -0.015926         1.187742

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.008873     0.135474    -0.175434     0.264637    -0.076102     0.290889     0.000000     0.000000

chi^2/ndf =   3.135/15 =   0.209

------------------------------------------------------------------------------

Channel 254: 146.732 +- 0.715 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.053317         0.182117
 15.0   5.0           0.079843         0.064048
 25.0   5.0           0.028624         0.047544
 35.0   5.0          -0.000401         0.042258
 45.0   5.0          -0.031894         0.041509
 55.0   5.0           0.003771         0.033325
 65.0   5.0          -0.027448         0.036695
 75.0   5.0          -0.001586         0.029945
 85.0   5.0           0.013655         0.035009
 95.0   5.0          -0.034775         0.047502
105.0   5.0          -0.014366         0.034025
115.0   5.0           0.019269         0.033102
125.0   5.0          -0.008152         0.030921
135.0   5.0          -0.010863         0.033509
145.0   5.0          -0.004977         0.035823
155.0   5.0          -0.020960         0.050141
165.0   5.0           0.125764         0.754770
175.0   5.0           0.051955         0.094712

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.031327     0.082693     0.018851     0.155793     0.018442     0.229833     0.000000     0.000000

