TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	-1.031484	1.449643
0	15.000000	5.000000	-7.606842	12.129255
0	25.000000	5.000000	0.371171	4.138483
0	35.000000	5.000000	-1.984285	1.154668
0	45.000000	5.000000	-0.425535	0.207196
0	55.000000	5.000000	-0.963962	0.328765
0	65.000000	5.000000	-0.713495	0.208325
0	75.000000	5.000000	-0.469468	0.155191
0	85.000000	5.000000	-0.350791	0.153053
0	95.000000	5.000000	-0.058408	0.126231
0	105.000000	5.000000	0.001075	0.144336
0	115.000000	5.000000	0.277044	0.232451
0	125.000000	5.000000	0.422340	0.294772
0	135.000000	5.000000	0.550718	0.325443
0	145.000000	5.000000	2.701750	2.659721
0	155.000000	5.000000	0.462095	0.411374
0	165.000000	5.000000	0.323612	1.795956
0	175.000000	5.000000	1.363823	3.486873


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	-0.352621	2.615871
1	25.000000	5.000000	0.247455	1.469636
1	35.000000	5.000000	-1.146544	0.361356
1	45.000000	5.000000	-0.882479	0.206609
1	55.000000	5.000000	-1.082597	0.171993
1	65.000000	5.000000	-0.775301	0.152240
1	75.000000	5.000000	-0.473929	0.119468
1	85.000000	5.000000	-0.496169	0.112363
1	95.000000	5.000000	0.100450	0.118641
1	105.000000	5.000000	0.296649	0.135673
1	115.000000	5.000000	0.421277	0.168567
1	125.000000	5.000000	0.874909	0.232142
1	135.000000	5.000000	0.243964	0.247115
1	145.000000	5.000000	0.576608	0.389357
1	155.000000	5.000000	1.069280	1.338431
1	165.000000	5.000000	1.468781	2.756140
1	175.000000	5.000000	2.499920	10.526995


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	17.592950	223.407363
2	25.000000	5.000000	-1.146392	0.690368
2	35.000000	5.000000	-1.039204	0.260493
2	45.000000	5.000000	-1.142870	0.169458
2	55.000000	5.000000	-0.816522	0.114007
2	65.000000	5.000000	-0.682731	0.102324
2	75.000000	5.000000	-0.502920	0.090645
2	85.000000	5.000000	-0.294374	0.082006
2	95.000000	5.000000	-0.075891	0.087872
2	105.000000	5.000000	0.032889	0.093497
2	115.000000	5.000000	0.165131	0.110993
2	125.000000	5.000000	0.220974	0.133735
2	135.000000	5.000000	0.749718	0.178353
2	145.000000	5.000000	0.363425	0.290335
2	155.000000	5.000000	1.062347	0.561256
2	165.000000	5.000000	1.157049	0.855870
2	175.000000	5.000000	-1.302790	2.045851


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.529682	0.406641
4	35.000000	5.000000	-1.341850	1.283905
4	45.000000	5.000000	-1.052825	0.529418
4	55.000000	5.000000	-16.025957	88.201138
4	65.000000	5.000000	-5.925259	14.647427
4	75.000000	5.000000	1.344613	1.272552
4	85.000000	5.000000	-0.793991	0.693534
4	95.000000	5.000000	-0.755050	1.372168
4	105.000000	5.000000	-0.898039	4.795464
4	115.000000	5.000000	1.006415	1.400386
4	125.000000	5.000000	-18.377029	355.779294
4	135.000000	5.000000	3.363984	14.883212
4	145.000000	5.000000	-0.970922	0.970823
4	155.000000	5.000000	-1.284547	7.735179
4	165.000000	5.000000	0.004192	0.197930
4	175.000000	5.000000	-0.739027	1.270989


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	5.429306	34.507241
5	25.000000	5.000000	0.239131	0.677968
5	35.000000	5.000000	-0.914956	0.292895
5	45.000000	5.000000	-0.981037	0.165235
5	55.000000	5.000000	-0.741930	0.120001
5	65.000000	5.000000	-0.702053	0.096605
5	75.000000	5.000000	-0.472374	0.079963
5	85.000000	5.000000	-0.368114	0.078067
5	95.000000	5.000000	-0.162150	0.083669
5	105.000000	5.000000	0.230091	0.081011
5	115.000000	5.000000	0.553064	0.115032
5	125.000000	5.000000	0.744443	0.139404
5	135.000000	5.000000	0.551543	0.161218
5	145.000000	5.000000	1.135318	0.456322
5	155.000000	5.000000	0.628002	0.416960
5	165.000000	5.000000	-0.850025	1.611383
5	175.000000	5.000000	0.286838	1.485358


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	0.266452	0.999209
6	25.000000	5.000000	-2.379050	1.522966
6	35.000000	5.000000	-0.781570	0.206719
6	45.000000	5.000000	-0.745351	0.148479
6	55.000000	5.000000	-0.810877	0.103361
6	65.000000	5.000000	-0.827344	0.113575
6	75.000000	5.000000	-0.337001	0.075243
6	85.000000	5.000000	-0.411491	0.074556
6	95.000000	5.000000	0.032340	0.069916
6	105.000000	5.000000	0.174017	0.080132
6	115.000000	5.000000	0.307659	0.100096
6	125.000000	5.000000	0.741701	0.154391
6	135.000000	5.000000	0.757422	0.202436
6	145.000000	5.000000	1.168153	0.377534
6	155.000000	5.000000	0.703102	0.330585
6	165.000000	5.000000	0.136446	1.441881
6	175.000000	5.000000	2.301848	2.433759


7	5.000000	5.000000	-5.116388	10.217301
7	15.000000	5.000000	-0.053230	0.983134
7	25.000000	5.000000	-0.651015	0.539670
7	35.000000	5.000000	-1.057033	0.272536
7	45.000000	5.000000	-1.110976	0.190487
7	55.000000	5.000000	-1.024003	0.138172
7	65.000000	5.000000	-0.817762	0.104603
7	75.000000	5.000000	-0.702783	0.108027
7	85.000000	5.000000	-0.225706	0.087303
7	95.000000	5.000000	-0.057534	0.088882
7	105.000000	5.000000	0.033619	0.091925
7	115.000000	5.000000	0.243831	0.109295
7	125.000000	5.000000	0.663923	0.150255
7	135.000000	5.000000	0.871079	0.208929
7	145.000000	5.000000	-0.022532	0.360370
7	155.000000	5.000000	0.317564	0.442264
7	165.000000	5.000000	0.925733	2.153645
7	175.000000	5.000000	-4.470102	9.552492


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-4.063195	5.428061
8	25.000000	5.000000	-2.293014	0.672851
8	35.000000	5.000000	-1.049178	0.239385
8	45.000000	5.000000	-1.233996	0.153923
8	55.000000	5.000000	-0.978962	0.109082
8	65.000000	5.000000	-0.746549	0.088475
8	75.000000	5.000000	-0.478097	0.080659
8	85.000000	5.000000	-0.281508	0.073614
8	95.000000	5.000000	-0.167233	0.074497
8	105.000000	5.000000	0.043525	0.080680
8	115.000000	5.000000	0.282615	0.099656
8	125.000000	5.000000	0.540414	0.128101
8	135.000000	5.000000	0.628330	0.155596
8	145.000000	5.000000	0.473171	0.250482
8	155.000000	5.000000	2.025125	0.596878
8	165.000000	5.000000	1.002880	0.771005
8	175.000000	5.000000	-56.201076	586.771499


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-0.802286	3.885150
9	25.000000	5.000000	-0.850037	0.810649
9	35.000000	5.000000	-0.599404	0.265197
9	45.000000	5.000000	-0.612077	0.293698
9	55.000000	5.000000	-1.030304	0.309025
9	65.000000	5.000000	-0.737749	0.223792
9	75.000000	5.000000	-0.448142	0.140626
9	85.000000	5.000000	0.056678	0.162989
9	95.000000	5.000000	0.133283	0.128471
9	105.000000	5.000000	0.323942	0.172562
9	115.000000	5.000000	0.188484	0.166057
9	125.000000	5.000000	0.398096	0.217453
9	135.000000	5.000000	0.389692	0.268043
9	145.000000	5.000000	0.659155	0.418254
9	155.000000	5.000000	0.230185	0.381458
9	165.000000	5.000000	-1.143888	2.789503
9	175.000000	5.000000	1.741580	7.081090


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	1.300501	1.978309
10	25.000000	5.000000	13.978403	30.812703
10	35.000000	5.000000	-1.821524	0.832167
10	45.000000	5.000000	-0.695215	0.285734
10	55.000000	5.000000	-0.947048	0.366788
10	65.000000	5.000000	-0.528607	0.199035
10	75.000000	5.000000	-0.469003	0.192056
10	85.000000	5.000000	-0.196040	0.119880
10	95.000000	5.000000	-0.076286	0.147630
10	105.000000	5.000000	0.217936	0.176984
10	115.000000	5.000000	0.284506	0.161703
10	125.000000	5.000000	0.794581	0.430053
10	135.000000	5.000000	0.313153	0.173440
10	145.000000	5.000000	0.031205	0.300149
10	155.000000	5.000000	3.047737	2.779192
10	165.000000	5.000000	-2.164538	5.949958
10	175.000000	5.000000	-0.394757	1.138320


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	-1.769100	3.034817
11	25.000000	5.000000	15105.383760	92973054.419958
11	35.000000	5.000000	-1.290130	1.284811
11	45.000000	5.000000	-1.133357	0.590562
11	55.000000	5.000000	-12.041083	52.182353
11	65.000000	5.000000	-30.454429	300.599664
11	75.000000	5.000000	-4.719574	8.396629
11	85.000000	5.000000	-2.286256	10.088908
11	95.000000	5.000000	-1.409627	2.009391
11	105.000000	5.000000	-0.840142	2.556446
11	115.000000	5.000000	-1.237852	4.885626
11	125.000000	5.000000	0.923818	0.977973
11	135.000000	5.000000	1.937720	3.607418
11	145.000000	5.000000	0.155735	0.326788
11	155.000000	5.000000	0.298670	2.271663
11	165.000000	5.000000	1.975031	18.081542
11	175.000000	5.000000	-0.546606	2.318083


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	-0.772843	0.855661
12	35.000000	5.000000	-3.359798	5.545552
12	45.000000	5.000000	-1.261994	0.703881
12	55.000000	5.000000	-23.021031	97.042663
12	65.000000	5.000000	-2.563818	1.881408
12	75.000000	5.000000	3.432818	6.769345
12	85.000000	5.000000	-2.268712	3.282686
12	95.000000	5.000000	-0.748211	0.734770
12	105.000000	5.000000	1.429401	4.340945
12	115.000000	5.000000	3.106850	24.825070
12	125.000000	5.000000	-1.494780	1.883523
12	135.000000	5.000000	-0.603224	0.420947
12	145.000000	5.000000	-1.540614	8.802459
12	155.000000	5.000000	-0.695026	0.623515
12	165.000000	5.000000	-0.039926	1.638503
12	175.000000	5.000000	-0.170385	3.609266


13	5.000000	5.000000	-27.932556	39.711251
13	15.000000	5.000000	0.487864	2.062135
13	25.000000	5.000000	-1.290934	0.657752
13	35.000000	5.000000	-1.054473	0.224037
13	45.000000	5.000000	-1.067071	0.147140
13	55.000000	5.000000	-0.815189	0.103790
13	65.000000	5.000000	-0.574133	0.092894
13	75.000000	5.000000	-0.503025	0.076766
13	85.000000	5.000000	-0.373805	0.073005
13	95.000000	5.000000	-0.125883	0.076786
13	105.000000	5.000000	0.032300	0.079622
13	115.000000	5.000000	0.085125	0.100557
13	125.000000	5.000000	0.356232	0.121430
13	135.000000	5.000000	0.537713	0.155144
13	145.000000	5.000000	0.345613	0.248818
13	155.000000	5.000000	0.751426	0.419158
13	165.000000	5.000000	0.986124	1.192432
13	175.000000	5.000000	-0.342320	1.714942


14	5.000000	5.000000	1.140328	2.582999
14	15.000000	5.000000	-0.193640	1.683477
14	25.000000	5.000000	-0.273677	0.395197
14	35.000000	5.000000	-0.705441	0.233286
14	45.000000	5.000000	-1.107940	0.127501
14	55.000000	5.000000	-0.880101	0.089309
14	65.000000	5.000000	-0.635647	0.073704
14	75.000000	5.000000	-0.541426	0.065170
14	85.000000	5.000000	-0.304360	0.061664
14	95.000000	5.000000	-0.043714	0.064287
14	105.000000	5.000000	0.186142	0.068683
14	115.000000	5.000000	0.253146	0.075737
14	125.000000	5.000000	0.611825	0.105814
14	135.000000	5.000000	0.684065	0.133365
14	145.000000	5.000000	0.755842	0.212847
14	155.000000	5.000000	0.954614	0.369146
14	165.000000	5.000000	0.445611	0.716423
14	175.000000	5.000000	1.069883	1.256141


15	5.000000	5.000000	20.567838	29.042983
15	15.000000	5.000000	1.984237	2.626572
15	25.000000	5.000000	-1.559399	0.650972
15	35.000000	5.000000	-1.357444	0.313123
15	45.000000	5.000000	-0.936022	0.171542
15	55.000000	5.000000	-0.868303	0.128666
15	65.000000	5.000000	-0.817736	0.100488
15	75.000000	5.000000	-0.216741	0.093842
15	85.000000	5.000000	-0.163215	0.093984
15	95.000000	5.000000	-0.163638	0.089012
15	105.000000	5.000000	0.077579	0.098491
15	115.000000	5.000000	0.345279	0.110733
15	125.000000	5.000000	0.600304	0.164477
15	135.000000	5.000000	0.599112	0.191988
15	145.000000	5.000000	1.172424	0.332320
15	155.000000	5.000000	1.341454	0.467963
15	165.000000	5.000000	0.816804	0.987139
15	175.000000	5.000000	-0.615075	1.147102


16	5.000000	5.000000	18.772062	33.798935
16	15.000000	5.000000	4.042259	2.812968
16	25.000000	5.000000	-0.692952	0.385749
16	35.000000	5.000000	-1.028919	0.211432
16	45.000000	5.000000	-0.999840	0.130815
16	55.000000	5.000000	-0.719844	0.091943
16	65.000000	5.000000	-0.600143	0.079878
16	75.000000	5.000000	-0.526060	0.066715
16	85.000000	5.000000	-0.271650	0.064239
16	95.000000	5.000000	-0.159249	0.069488
16	105.000000	5.000000	0.160302	0.075229
16	115.000000	5.000000	0.228909	0.089794
16	125.000000	5.000000	0.394020	0.109671
16	135.000000	5.000000	0.700162	0.156118
16	145.000000	5.000000	1.009453	0.219864
16	155.000000	5.000000	0.422665	0.270749
16	165.000000	5.000000	0.624980	0.612913
16	175.000000	5.000000	-2.089466	5.843095


