TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.622566	0.968583
0	15.000000	5.000000	2.019155	7.442963
0	25.000000	5.000000	-0.224413	3.236081
0	35.000000	5.000000	-0.218421	0.459576
0	45.000000	5.000000	-0.096288	0.152425
0	55.000000	5.000000	-0.167016	0.194668
0	65.000000	5.000000	-0.337002	0.147972
0	75.000000	5.000000	-0.304031	0.118748
0	85.000000	5.000000	-0.234131	0.119332
0	95.000000	5.000000	-0.114740	0.101043
0	105.000000	5.000000	0.033859	0.114156
0	115.000000	5.000000	0.231270	0.183773
0	125.000000	5.000000	-0.170090	0.219446
0	135.000000	5.000000	0.488227	0.262198
0	145.000000	5.000000	1.353806	1.475625
0	155.000000	5.000000	-0.340531	0.321293
0	165.000000	5.000000	-0.764299	1.832330
0	175.000000	5.000000	-0.827804	2.321211


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	3.385926	3.372848
1	25.000000	5.000000	-0.132559	1.179514
1	35.000000	5.000000	-0.493995	0.267204
1	45.000000	5.000000	-0.226154	0.153625
1	55.000000	5.000000	-0.374470	0.123894
1	65.000000	5.000000	-0.165451	0.113732
1	75.000000	5.000000	-0.252089	0.094010
1	85.000000	5.000000	-0.350868	0.089401
1	95.000000	5.000000	-0.306590	0.097768
1	105.000000	5.000000	-0.323525	0.109819
1	115.000000	5.000000	0.009431	0.131215
1	125.000000	5.000000	-0.030488	0.166991
1	135.000000	5.000000	-0.300018	0.199637
1	145.000000	5.000000	0.590434	0.317310
1	155.000000	5.000000	0.991901	1.111826
1	165.000000	5.000000	1.443803	2.388301
1	175.000000	5.000000	-0.012748	5.502330


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	29.176662	366.966746
2	25.000000	5.000000	1.064845	0.559427
2	35.000000	5.000000	-0.338519	0.203288
2	45.000000	5.000000	-0.099498	0.125468
2	55.000000	5.000000	-0.132660	0.086812
2	65.000000	5.000000	-0.282102	0.079484
2	75.000000	5.000000	-0.157320	0.071535
2	85.000000	5.000000	-0.185062	0.066191
2	95.000000	5.000000	-0.139868	0.071423
2	105.000000	5.000000	-0.051101	0.075619
2	115.000000	5.000000	-0.192190	0.089442
2	125.000000	5.000000	-0.043762	0.107222
2	135.000000	5.000000	-0.074489	0.138430
2	145.000000	5.000000	-0.030991	0.230506
2	155.000000	5.000000	0.264380	0.424099
2	165.000000	5.000000	-0.084726	0.633658
2	175.000000	5.000000	0.839248	1.599047


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	-0.016627	0.299970
4	35.000000	5.000000	-0.560705	0.588562
4	45.000000	5.000000	-0.222867	0.170953
4	55.000000	5.000000	-4.961011	27.360161
4	65.000000	5.000000	-2.292710	5.709341
4	75.000000	5.000000	0.704326	0.682855
4	85.000000	5.000000	-0.374247	0.362610
4	95.000000	5.000000	-0.476535	0.913367
4	105.000000	5.000000	-0.618137	3.345656
4	115.000000	5.000000	0.216219	0.419820
4	125.000000	5.000000	-3.011720	58.434835
4	135.000000	5.000000	0.874316	3.980210
4	145.000000	5.000000	0.125835	0.269437
4	155.000000	5.000000	-1.164296	6.995640
4	165.000000	5.000000	-0.152598	0.246145
4	175.000000	5.000000	-0.218523	0.810036


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-0.675318	6.688427
5	25.000000	5.000000	-0.147430	0.542351
5	35.000000	5.000000	-0.514035	0.222051
5	45.000000	5.000000	-0.141150	0.112663
5	55.000000	5.000000	-0.253927	0.087456
5	65.000000	5.000000	-0.236093	0.070087
5	75.000000	5.000000	-0.259307	0.061956
5	85.000000	5.000000	-0.115257	0.060904
5	95.000000	5.000000	-0.118973	0.067357
5	105.000000	5.000000	-0.025921	0.064069
5	115.000000	5.000000	-0.027389	0.085201
5	125.000000	5.000000	0.055604	0.098375
5	135.000000	5.000000	0.094960	0.120301
5	145.000000	5.000000	0.203763	0.282531
5	155.000000	5.000000	0.495731	0.330908
5	165.000000	5.000000	1.660610	1.952184
5	175.000000	5.000000	-0.431349	1.217878


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	0.894264	1.206488
6	25.000000	5.000000	-0.678723	0.764871
6	35.000000	5.000000	-0.055283	0.148340
6	45.000000	5.000000	-0.159026	0.106402
6	55.000000	5.000000	-0.335901	0.072859
6	65.000000	5.000000	-0.297247	0.078394
6	75.000000	5.000000	-0.290585	0.060549
6	85.000000	5.000000	-0.203374	0.057905
6	95.000000	5.000000	-0.170695	0.057214
6	105.000000	5.000000	-0.165898	0.064554
6	115.000000	5.000000	0.050319	0.077702
6	125.000000	5.000000	-0.122033	0.107178
6	135.000000	5.000000	0.099303	0.140576
6	145.000000	5.000000	0.298608	0.231183
6	155.000000	5.000000	0.288044	0.239426
6	165.000000	5.000000	-0.783893	1.515371
6	175.000000	5.000000	-1.063659	1.307673


7	5.000000	5.000000	5.251906	8.790749
7	15.000000	5.000000	-1.130677	1.033133
7	25.000000	5.000000	-0.564436	0.428875
7	35.000000	5.000000	0.018498	0.201009
7	45.000000	5.000000	-0.311209	0.139033
7	55.000000	5.000000	-0.229598	0.099689
7	65.000000	5.000000	-0.253513	0.077606
7	75.000000	5.000000	-0.152150	0.081171
7	85.000000	5.000000	-0.341653	0.070837
7	95.000000	5.000000	-0.302493	0.071839
7	105.000000	5.000000	-0.085076	0.073257
7	115.000000	5.000000	0.139322	0.086382
7	125.000000	5.000000	0.020800	0.113244
7	135.000000	5.000000	-0.015043	0.154693
7	145.000000	5.000000	-0.000787	0.284528
7	155.000000	5.000000	0.636744	0.366451
7	165.000000	5.000000	-1.734629	2.175537
7	175.000000	5.000000	-2.716281	6.185399


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-0.858648	2.910410
8	25.000000	5.000000	-0.326975	0.445309
8	35.000000	5.000000	-0.375954	0.186294
8	45.000000	5.000000	-0.439568	0.115883
8	55.000000	5.000000	-0.235004	0.082238
8	65.000000	5.000000	-0.225660	0.068197
8	75.000000	5.000000	-0.242259	0.064035
8	85.000000	5.000000	-0.108321	0.059268
8	95.000000	5.000000	-0.240227	0.060550
8	105.000000	5.000000	-0.128991	0.065292
8	115.000000	5.000000	0.031512	0.079565
8	125.000000	5.000000	-0.021098	0.100550
8	135.000000	5.000000	0.109121	0.121843
8	145.000000	5.000000	0.322377	0.200070
8	155.000000	5.000000	0.776425	0.421623
8	165.000000	5.000000	0.089373	0.582620
8	175.000000	5.000000	-6.523965	71.993221


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	1.067441	3.099807
9	25.000000	5.000000	0.083592	0.510547
9	35.000000	5.000000	0.028904	0.179874
9	45.000000	5.000000	-0.261116	0.206520
9	55.000000	5.000000	-0.146714	0.165264
9	65.000000	5.000000	-0.203948	0.144088
9	75.000000	5.000000	-0.263593	0.103672
9	85.000000	5.000000	-0.206627	0.131703
9	95.000000	5.000000	-0.230801	0.104683
9	105.000000	5.000000	-0.242454	0.133778
9	115.000000	5.000000	-0.006822	0.125546
9	125.000000	5.000000	0.278856	0.165841
9	135.000000	5.000000	0.067867	0.193635
9	145.000000	5.000000	-0.113636	0.279644
9	155.000000	5.000000	0.498276	0.347748
9	165.000000	5.000000	-0.744150	1.926895
9	175.000000	5.000000	0.043806	1.999051


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.647067	1.289569
10	25.000000	5.000000	0.128314	4.699640
10	35.000000	5.000000	-0.217314	0.383667
10	45.000000	5.000000	-0.071639	0.171924
10	55.000000	5.000000	-0.215185	0.206315
10	65.000000	5.000000	-0.267483	0.142686
10	75.000000	5.000000	-0.278949	0.142897
10	85.000000	5.000000	-0.262037	0.098313
10	95.000000	5.000000	-0.227150	0.122028
10	105.000000	5.000000	-0.313233	0.148413
10	115.000000	5.000000	0.042454	0.120258
10	125.000000	5.000000	-0.019464	0.237864
10	135.000000	5.000000	-0.027281	0.125761
10	145.000000	5.000000	-0.038088	0.233804
10	155.000000	5.000000	0.232739	0.752309
10	165.000000	5.000000	-1.320349	3.762578
10	175.000000	5.000000	-0.019122	0.829483


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	1.799623	2.707663
11	25.000000	5.000000	5917.779757	36423706.466098
11	35.000000	5.000000	-0.815170	0.868221
11	45.000000	5.000000	-0.239571	0.254110
11	55.000000	5.000000	-4.206959	18.307745
11	65.000000	5.000000	-16.101858	158.992066
11	75.000000	5.000000	-1.196729	2.250001
11	85.000000	5.000000	-0.475334	2.696110
11	95.000000	5.000000	-0.447219	0.852929
11	105.000000	5.000000	2.660127	6.639632
11	115.000000	5.000000	0.339514	1.782571
11	125.000000	5.000000	0.112494	0.398949
11	135.000000	5.000000	0.006220	0.674445
