E =  146.950 MeV, Wt = 1.0, Sc = 1.0
161.810    0.019200    0.001200
148.210    0.021000    0.001800
138.590    0.018500    0.001900
130.540    0.020900    0.002000
123.370    0.016500    0.001900
116.740    0.016600    0.002000
110.490    0.015000    0.001800
104.480    0.017500    0.001900
 98.630    0.016300    0.002100
 92.870    0.011300    0.002500
 87.130    0.016900    0.002200
 81.370    0.010900    0.002600
 75.520    0.016300    0.002200
 69.510    0.009800    0.002700
 63.260    0.007300    0.002600
 56.630    0.004800    0.002800
 49.460    0.006100    0.002700
 41.410    0.006300    0.002500
 31.790    0.003000    0.002100
 18.190    0.004000    0.001600
-------------------------------------
E =  149.350 MeV, Wt = 1.0, Sc = 1.0
161.810    0.047300    0.003400
148.210    0.042500    0.003500
138.590    0.039700    0.003400
130.540    0.035500    0.003800
123.370    0.033900    0.004200
116.740    0.033400    0.003800
110.490    0.025200    0.004900
104.480    0.031600    0.004100
 98.630    0.027300    0.004300
 92.870    0.029100    0.005300
 87.130    0.025900    0.005700
 81.370    0.027200    0.005200
 75.520    0.029500    0.005100
 69.510    0.026900    0.004900
 63.260    0.018500    0.005900
 56.630    0.015500    0.005700
 49.460    0.017200    0.004600
 41.410    0.009500    0.005200
 31.790    0.009200    0.004800
 18.190    0.011100    0.004000
-------------------------------------
E =  151.680 MeV, Wt = 1.0, Sc = 1.0
161.810    0.066700    0.002900
148.210    0.063400    0.002600
138.590    0.057700    0.002900
130.540    0.062600    0.002700
123.370    0.059100    0.002800
116.740    0.060900    0.002700
110.490    0.059200    0.002900
104.480    0.062500    0.002800
 98.630    0.058500    0.003400
 92.870    0.057500    0.003300
 87.130    0.056400    0.003400
 81.370    0.059500    0.003500
 75.520    0.047300    0.003700
 69.510    0.048000    0.003500
 63.260    0.048900    0.003600
 56.630    0.039300    0.003800
 49.460    0.046600    0.003400
 41.410    0.034600    0.003200
 31.790    0.033800    0.003000
 18.190    0.026000    0.003200
-------------------------------------
E =  154.030 MeV, Wt = 1.0, Sc = 1.0
161.810    0.098000    0.003200
148.210    0.097100    0.003400
138.590    0.093900    0.003200
130.540    0.093600    0.003200
123.370    0.088800    0.003400
116.740    0.091400    0.003200
110.490    0.099400    0.003300
104.480    0.080800    0.003500
 98.630    0.086600    0.003800
 92.870    0.083100    0.004200
 87.130    0.085800    0.003900
 81.370    0.083500    0.004400
 75.520    0.075100    0.004400
 69.510    0.071500    0.004500
 63.260    0.070000    0.004100
 56.630    0.059100    0.004500
 49.460    0.058200    0.004400
 41.410    0.063800    0.003700
 31.790    0.054700    0.003700
 18.190    0.050300    0.004000
-------------------------------------
E =  156.380 MeV, Wt = 1.0, Sc = 1.0
161.810    0.133600    0.003900
148.210    0.133600    0.004100
138.590    0.133400    0.004100
130.540    0.128900    0.004000
123.370    0.127900    0.003900
116.740    0.126500    0.004200
110.490    0.129000    0.004200
104.480    0.130000    0.004300
 98.630    0.123100    0.004200
 92.870    0.121800    0.004400
 87.130    0.126600    0.004700
 81.370    0.118000    0.004900
 75.520    0.113200    0.005000
 69.510    0.099800    0.005000
 63.260    0.095600    0.005000
 56.630    0.095700    0.005000
 49.460    0.087500    0.004900
 41.410    0.075200    0.004900
 31.790    0.074000    0.004400
 18.190    0.065300    0.004300
-------------------------------------
E =  158.720 MeV, Wt = 1.0, Sc = 1.0
161.810    0.186900    0.004500
148.210    0.181100    0.004400
138.590    0.180500    0.004500
130.540    0.172800    0.004400
123.370    0.179200    0.004300
116.740    0.178400    0.004500
110.490    0.176100    0.004600
104.480    0.175400    0.004800
 98.630    0.160500    0.004800
 92.870    0.162100    0.005300
 87.130    0.162400    0.005400
 81.370    0.153800    0.005400
 75.520    0.157900    0.005700
 69.510    0.142600    0.005500
 63.260    0.128600    0.005900
 56.630    0.123900    0.005600
 49.460    0.124400    0.005300
 41.410    0.109400    0.005500
 31.790    0.111800    0.004900
 18.190    0.085300    0.004900
-------------------------------------
E =  161.080 MeV, Wt = 1.0, Sc = 1.0
161.810    0.227900    0.005000
148.210    0.223600    0.005000
138.590    0.225600    0.004900
130.540    0.225200    0.004900
123.370    0.231100    0.004800
116.740    0.225700    0.005000
110.490    0.216700    0.005100
104.480    0.224000    0.005400
 98.630    0.224500    0.005400
 92.870    0.227000    0.005700
 87.130    0.206400    0.005900
 81.370    0.202700    0.005800
 75.520    0.196900    0.006100
 69.510    0.185700    0.006000
 63.260    0.179400    0.006200
 56.630    0.156900    0.006100
 49.460    0.152500    0.006000
 41.410    0.142400    0.006000
 31.790    0.131600    0.005600
 18.190    0.113700    0.005400
-------------------------------------
E =  163.440 MeV, Wt = 1.0, Sc = 1.0
161.810    0.280400    0.005500
148.210    0.286900    0.005500
138.590    0.284700    0.005500
130.540    0.277900    0.005400
123.370    0.280200    0.005300
116.740    0.275300    0.005400
110.490    0.281300    0.005600
104.480    0.283400    0.005800
 98.630    0.276500    0.005900
 92.870    0.271600    0.006100
 87.130    0.264200    0.006200
 81.370    0.252700    0.006300
 75.520    0.235300    0.006500
 69.510    0.230200    0.006600
 63.260    0.213400    0.006800
 56.630    0.200000    0.006700
 49.460    0.196100    0.006600
 41.410    0.167700    0.006800
 31.790    0.164900    0.006300
 18.190    0.145400    0.005700
-------------------------------------
E =  165.780 MeV, Wt = 1.0, Sc = 1.0
161.810    0.347300    0.005900
148.210    0.356100    0.005900
138.590    0.338200    0.005800
130.540    0.339200    0.005900
123.370    0.329900    0.005700
116.740    0.332500    0.005900
110.490    0.340800    0.006000
104.480    0.336700    0.006300
 98.630    0.333800    0.006500
 92.870    0.333400    0.006500
 87.130    0.325300    0.006600
 81.370    0.307700    0.006800
 75.520    0.285100    0.007000
 69.510    0.298300    0.007000
 63.260    0.260500    0.007000
 56.630    0.257500    0.007100
 49.460    0.226200    0.007100
 41.410    0.217000    0.007000
 31.790    0.186700    0.006700
 18.190    0.177500    0.006200
-------------------------------------
E =  168.160 MeV, Wt = 1.0, Sc = 1.0
161.810    0.404600    0.006400
148.210    0.399200    0.006200
138.590    0.414000    0.006400
130.540    0.401700    0.006300
123.370    0.395100    0.006200
116.740    0.398800    0.006400
110.490    0.404400    0.006600
104.480    0.406800    0.006600
 98.630    0.395400    0.006900
 92.870    0.383600    0.007000
 87.130    0.377300    0.006900
 81.370    0.381100    0.007200
 75.520    0.352400    0.007600
 69.510    0.355900    0.007400
 63.260    0.313000    0.007600
 56.630    0.296500    0.007600
