TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	-3.960747	2.869681
0	25.000000	5.000000	-14.014981	9.333774
0	35.000000	5.000000	-2.466205	0.747675
0	45.000000	5.000000	-0.488200	0.114291
0	55.000000	5.000000	-0.914096	0.129436
0	65.000000	5.000000	-0.662414	0.119976
0	75.000000	5.000000	-0.547010	0.107660
0	85.000000	5.000000	-0.309375	0.092802
0	95.000000	5.000000	-0.087553	0.087993
0	105.000000	5.000000	0.067920	0.099618
0	115.000000	5.000000	0.361186	0.185316
0	125.000000	5.000000	0.501264	0.225092
0	135.000000	5.000000	0.329885	0.188916
0	145.000000	5.000000	4.408535	0.929835
0	155.000000	5.000000	1.456258	0.387320
0	165.000000	5.000000	1.116175	3.308117
0	175.000000	5.000000	0.646355	0.521228


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	2.238038	1.785819
1	25.000000	5.000000	0.145520	1.642765
1	35.000000	5.000000	-1.263875	0.272036
1	45.000000	5.000000	-1.081776	0.145920
1	55.000000	5.000000	-1.157389	0.117767
1	65.000000	5.000000	-0.843542	0.101073
1	75.000000	5.000000	-0.534870	0.086578
1	85.000000	5.000000	-0.556608	0.078179
1	95.000000	5.000000	0.014815	0.083723
1	105.000000	5.000000	0.239477	0.087577
1	115.000000	5.000000	0.426006	0.122414
1	125.000000	5.000000	0.847513	0.164060
1	135.000000	5.000000	0.444362	0.177566
1	145.000000	5.000000	0.820335	0.278556
1	155.000000	5.000000	2.736332	0.916255
1	165.000000	5.000000	2.005621	1.523346
1	175.000000	5.000000	0.818901	0.954236


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	-2.278329	1.794660
2	25.000000	5.000000	-1.119647	0.398973
2	35.000000	5.000000	-0.891337	0.187588
2	45.000000	5.000000	-1.278022	0.124398
2	55.000000	5.000000	-1.005302	0.079254
2	65.000000	5.000000	-0.744501	0.071877
2	75.000000	5.000000	-0.475752	0.062303
2	85.000000	5.000000	-0.294957	0.057728
2	95.000000	5.000000	0.019883	0.060825
2	105.000000	5.000000	0.089010	0.062011
2	115.000000	5.000000	0.143484	0.078052
2	125.000000	5.000000	0.299042	0.091579
2	135.000000	5.000000	0.866483	0.124988
2	145.000000	5.000000	0.467808	0.212031
2	155.000000	5.000000	1.357955	0.392412
2	165.000000	5.000000	1.064155	0.645263
2	175.000000	5.000000	-1.285542	1.088466


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-0.921310	1.126111
5	25.000000	5.000000	-0.285147	0.418150
5	35.000000	5.000000	-1.164944	0.200864
5	45.000000	5.000000	-1.050951	0.100704
5	55.000000	5.000000	-0.772520	0.075045
5	65.000000	5.000000	-0.654354	0.061848
5	75.000000	5.000000	-0.595887	0.057111
5	85.000000	5.000000	-0.359948	0.051362
5	95.000000	5.000000	-0.042486	0.056144
5	105.000000	5.000000	0.181463	0.057915
5	115.000000	5.000000	0.498510	0.072721
5	125.000000	5.000000	0.694236	0.095005
5	135.000000	5.000000	0.542032	0.105768
5	145.000000	5.000000	1.020963	0.216858
5	155.000000	5.000000	0.516007	0.286434
5	165.000000	5.000000	-0.875290	0.867423
5	175.000000	5.000000	0.406171	0.821212


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-1.249689	0.996423
6	25.000000	5.000000	-2.491146	0.615793
6	35.000000	5.000000	-1.071053	0.129795
6	45.000000	5.000000	-0.833361	0.098561
6	55.000000	5.000000	-0.969942	0.066525
6	65.000000	5.000000	-0.918156	0.071794
6	75.000000	5.000000	-0.371287	0.050639
6	85.000000	5.000000	-0.309192	0.050459
6	95.000000	5.000000	0.016072	0.048925
6	105.000000	5.000000	0.116021	0.051958
6	115.000000	5.000000	0.332522	0.064921
6	125.000000	5.000000	0.750841	0.084263
6	135.000000	5.000000	0.697230	0.106230
6	145.000000	5.000000	0.605690	0.160279
6	155.000000	5.000000	0.686671	0.284212
6	165.000000	5.000000	2.613930	0.937589
6	175.000000	5.000000	0.105221	0.454269


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-0.914223	0.801075
7	25.000000	5.000000	-1.021884	0.431703
7	35.000000	5.000000	-1.183125	0.193169
7	45.000000	5.000000	-1.169203	0.124307
7	55.000000	5.000000	-1.047571	0.088087
7	65.000000	5.000000	-0.874459	0.071170
7	75.000000	5.000000	-0.700131	0.071080
7	85.000000	5.000000	-0.290471	0.061368
7	95.000000	5.000000	-0.149274	0.059678
7	105.000000	5.000000	-0.000516	0.064180
7	115.000000	5.000000	0.115257	0.073685
7	125.000000	5.000000	0.555681	0.106530
7	135.000000	5.000000	1.059677	0.145449
7	145.000000	5.000000	0.423442	0.234628
7	155.000000	5.000000	-0.015158	0.308152
7	165.000000	5.000000	0.771279	1.558443
7	175.000000	5.000000	-1.923675	2.958646


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-3.536763	5.118761
8	25.000000	5.000000	-2.432112	0.366767
8	35.000000	5.000000	-1.267772	0.171872
8	45.000000	5.000000	-1.233864	0.108431
8	55.000000	5.000000	-1.067329	0.076529
8	65.000000	5.000000	-0.704294	0.063824
8	75.000000	5.000000	-0.426925	0.054602
8	85.000000	5.000000	-0.359410	0.052438
8	95.000000	5.000000	-0.031553	0.052744
8	105.000000	5.000000	0.046833	0.057469
8	115.000000	5.000000	0.443591	0.072161
8	125.000000	5.000000	0.657775	0.084606
8	135.000000	5.000000	0.715823	0.116334
8	145.000000	5.000000	1.009632	0.170092
8	155.000000	5.000000	1.271649	0.354573
8	165.000000	5.000000	1.047988	0.578491
8	175.000000	5.000000	4.979759	3.305122


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-0.026133	0.566005
9	25.000000	5.000000	-0.905452	0.720945
9	35.000000	5.000000	-0.630133	0.226849
9	45.000000	5.000000	-0.498004	0.225307
9	55.000000	5.000000	-1.118439	0.171663
9	65.000000	5.000000	-0.649906	0.128025
9	75.000000	5.000000	-0.370222	0.089935
9	85.000000	5.000000	-0.111690	0.116712
9	95.000000	5.000000	0.055977	0.096334
9	105.000000	5.000000	0.427494	0.123629
9	115.000000	5.000000	0.088864	0.109447
9	125.000000	5.000000	0.283890	0.123838
9	135.000000	5.000000	0.246758	0.190508
9	145.000000	5.000000	1.212615	0.358068
9	155.000000	5.000000	0.430036	0.350075
9	165.000000	5.000000	35.482595	25.821931
9	175.000000	5.000000	-0.467125	1.386706


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	2.934993	1.227875
10	35.000000	5.000000	-1.951536	0.516263
10	45.000000	5.000000	-1.254082	0.218794
10	55.000000	5.000000	-1.170070	0.181281
10	65.000000	5.000000	-0.647580	0.106727
10	75.000000	5.000000	-0.404468	0.122047
10	85.000000	5.000000	-0.287658	0.080155
10	95.000000	5.000000	-0.230537	0.110925
10	105.000000	5.000000	0.145819	0.123594
10	115.000000	5.000000	0.475440	0.121582
10	125.000000	5.000000	0.582063	0.177533
10	135.000000	5.000000	0.203074	0.111332
10	145.000000	5.000000	0.544870	0.317931
10	155.000000	5.000000	1.204659	0.485296
10	165.000000	5.000000	7.775531	2.951468
10	175.000000	5.000000	-0.124391	1.490382


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.777471	0.804810
11	25.000000	5.000000	8.257477	3.582233
11	35.000000	5.000000	-1.090705	0.387835
11	45.000000	5.000000	-3.590275	0.523503
11	55.000000	5.000000	-3.984393	0.680171
11	65.000000	5.000000	-1.574388	0.233344
11	75.000000	5.000000	-2.554938	0.509671
11	85.000000	5.000000	-0.818501	1.421252
11	95.000000	5.000000	-1.855364	1.063806
11	105.000000	5.000000	0.231691	0.424057
11	115.000000	5.000000	0.791306	0.333003
11	125.000000	5.000000	0.449190	0.220635
11	135.000000	5.000000	0.446058	0.144199
11	145.000000	5.000000	2.444590	0.928009
11	155.000000	5.000000	0.000389	0.416652
11	165.000000	5.000000	-0.266180	0.858427
11	175.000000	5.000000	2.175236	0.887472


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	1.062165	1.032659
12	25.000000	5.000000	-5.570928	3.012712
12	35.000000	5.000000	-1.973720	0.557556
12	45.000000	5.000000	-2.029992	0.346183
12	55.000000	5.000000	29.340786	5.088969
12	65.000000	5.000000	-4.003840	0.535931
12	75.000000	5.000000	-2.418804	0.614394
12	85.000000	5.000000	-6.540097	2.424407
12	95.000000	5.000000	0.156448	0.420659
12	105.000000	5.000000	1.806772	1.199895
12	115.000000	5.000000	2.319048	1.864292
12	125.000000	5.000000	9.230619	7.844764
12	135.000000	5.000000	-0.852847	0.505195
12	145.000000	5.000000	-6.810677	3.174580
12	155.000000	5.000000	-0.698660	0.342241
12	165.000000	5.000000	1.407811	0.900487
12	175.000000	5.000000	-0.161467	1.213919


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	0.136884	1.791942
13	25.000000	5.000000	-1.605789	0.426964
13	35.000000	5.000000	-1.448801	0.169508
13	45.000000	5.000000	-1.177414	0.102911
13	55.000000	5.000000	-0.843218	0.073165
13	65.000000	5.000000	-0.783700	0.066938
13	75.000000	5.000000	-0.479753	0.053723
13	85.000000	5.000000	-0.344824	0.051658
13	95.000000	5.000000	-0.112299	0.052905
13	105.000000	5.000000	0.032633	0.057196
13	115.000000	5.000000	0.315081	0.072919
13	125.000000	5.000000	0.398579	0.083681
13	135.000000	5.000000	0.622398	0.112684
13	145.000000	5.000000	0.483319	0.173326
13	155.000000	5.000000	0.638022	0.350832
13	165.000000	5.000000	1.419904	0.691896
13	175.000000	5.000000	-1.366493	1.050191


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	0.472961	1.301890
14	25.000000	5.000000	-0.620696	0.269951
14	35.000000	5.000000	-1.045926	0.155538
14	45.000000	5.000000	-1.042710	0.085830
14	55.000000	5.000000	-1.072584	0.063693
14	65.000000	5.000000	-0.639775	0.051419
14	75.000000	5.000000	-0.490180	0.045728
14	85.000000	5.000000	-0.316560	0.042499
14	95.000000	5.000000	-0.121011	0.044340
14	105.000000	5.000000	0.156376	0.048023
14	115.000000	5.000000	0.363859	0.053096
14	125.000000	5.000000	0.530735	0.070371
14	135.000000	5.000000	0.779335	0.095662
14	145.000000	5.000000	0.762122	0.165212
14	155.000000	5.000000	0.864646	0.221581
14	165.000000	5.000000	0.323582	0.501882
