TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	-2.107584	3.163426
0	25.000000	5.000000	-0.394664	0.992127
0	35.000000	5.000000	-15.061219	4.869957
0	45.000000	5.000000	-0.592713	0.120944
0	55.000000	5.000000	-1.269201	0.150105
0	65.000000	5.000000	-0.672303	0.119443
0	75.000000	5.000000	-0.676999	0.108012
0	85.000000	5.000000	-0.493569	0.100967
0	95.000000	5.000000	-0.125025	0.084292
0	105.000000	5.000000	0.142721	0.098366
0	115.000000	5.000000	0.305519	0.155846
0	125.000000	5.000000	0.499159	0.264648
0	135.000000	5.000000	0.539571	0.187716
0	145.000000	5.000000	1.858875	0.675256
0	155.000000	5.000000	1.244845	0.460842
0	165.000000	5.000000	139.885697	279.942497
0	175.000000	5.000000	0.325434	0.548250


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.550432	0.821523
1	25.000000	5.000000	-0.883357	1.465855
1	35.000000	5.000000	-1.844527	0.302480
1	45.000000	5.000000	-0.951074	0.139106
1	55.000000	5.000000	-1.372054	0.120258
1	65.000000	5.000000	-0.882372	0.097227
1	75.000000	5.000000	-0.467064	0.085477
1	85.000000	5.000000	-0.457436	0.072878
1	95.000000	5.000000	-0.067709	0.081443
1	105.000000	5.000000	0.188215	0.097863
1	115.000000	5.000000	0.488285	0.121380
1	125.000000	5.000000	0.860722	0.146593
1	135.000000	5.000000	0.730779	0.194152
1	145.000000	5.000000	0.541279	0.292250
1	155.000000	5.000000	2.838768	0.717492
1	165.000000	5.000000	1.893839	2.095388
1	175.000000	5.000000	-2.066725	6.049167


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	0.148884	2.172513
2	25.000000	5.000000	-1.750456	0.416766
2	35.000000	5.000000	-1.110820	0.195648
2	45.000000	5.000000	-1.348693	0.116842
2	55.000000	5.000000	-1.014889	0.078841
2	65.000000	5.000000	-0.930851	0.071893
2	75.000000	5.000000	-0.520255	0.064179
2	85.000000	5.000000	-0.316804	0.058936
2	95.000000	5.000000	-0.004696	0.062798
2	105.000000	5.000000	0.150198	0.064276
2	115.000000	5.000000	0.130505	0.079191
2	125.000000	5.000000	0.415955	0.094771
2	135.000000	5.000000	0.945051	0.120332
2	145.000000	5.000000	0.890913	0.224583
2	155.000000	5.000000	1.363752	0.370665
2	165.000000	5.000000	0.564489	0.687614
2	175.000000	5.000000	0.532729	1.168224


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	0.043363	1.263368
5	25.000000	5.000000	-0.566943	0.353633
5	35.000000	5.000000	-1.173317	0.198862
5	45.000000	5.000000	-1.274628	0.109253
5	55.000000	5.000000	-1.086048	0.079483
5	65.000000	5.000000	-0.726975	0.060599
5	75.000000	5.000000	-0.667682	0.055025
5	85.000000	5.000000	-0.342058	0.050818
5	95.000000	5.000000	-0.101853	0.057971
5	105.000000	5.000000	0.172629	0.060547
5	115.000000	5.000000	0.488305	0.068932
5	125.000000	5.000000	0.724469	0.094276
5	135.000000	5.000000	0.626839	0.126179
5	145.000000	5.000000	1.410612	0.226448
5	155.000000	5.000000	0.631525	0.272880
5	165.000000	5.000000	-0.279894	0.724733
5	175.000000	5.000000	-0.052684	0.529402


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-0.978983	1.479877
6	25.000000	5.000000	-1.259414	0.530996
6	35.000000	5.000000	-1.260969	0.141671
6	45.000000	5.000000	-1.102931	0.095566
6	55.000000	5.000000	-1.114666	0.065481
6	65.000000	5.000000	-1.057368	0.069786
6	75.000000	5.000000	-0.440630	0.051223
6	85.000000	5.000000	-0.346318	0.050613
6	95.000000	5.000000	0.058250	0.050051
6	105.000000	5.000000	0.148149	0.056983
6	115.000000	5.000000	0.430784	0.065532
6	125.000000	5.000000	0.830556	0.085093
6	135.000000	5.000000	0.917262	0.117687
6	145.000000	5.000000	0.750584	0.130280
6	155.000000	5.000000	0.499492	0.204524
6	165.000000	5.000000	2.569231	1.185207
6	175.000000	5.000000	0.519727	0.425588


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-1.307638	0.891680
7	25.000000	5.000000	-0.820784	0.429066
7	35.000000	5.000000	-1.570041	0.213130
7	45.000000	5.000000	-1.254323	0.117621
7	55.000000	5.000000	-1.245478	0.085676
7	65.000000	5.000000	-0.863526	0.069787
7	75.000000	5.000000	-0.786807	0.069143
7	85.000000	5.000000	-0.376291	0.062789
7	95.000000	5.000000	-0.131976	0.061658
7	105.000000	5.000000	-0.002628	0.064833
7	115.000000	5.000000	0.233818	0.076204
7	125.000000	5.000000	0.701505	0.101744
7	135.000000	5.000000	0.746544	0.139612
7	145.000000	5.000000	0.434621	0.244891
7	155.000000	5.000000	0.532223	0.377690
7	165.000000	5.000000	2.670879	3.608991
7	175.000000	5.000000	0.677255	3.156067


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-41.667702	29.226217
8	25.000000	5.000000	-2.269122	0.343982
8	35.000000	5.000000	-1.459889	0.184403
8	45.000000	5.000000	-1.504561	0.109818
8	55.000000	5.000000	-1.119250	0.073404
8	65.000000	5.000000	-0.839223	0.063363
8	75.000000	5.000000	-0.587458	0.055680
8	85.000000	5.000000	-0.422984	0.051794
8	95.000000	5.000000	-0.083716	0.053880
8	105.000000	5.000000	0.104826	0.058905
8	115.000000	5.000000	0.337337	0.071665
8	125.000000	5.000000	0.734576	0.083668
8	135.000000	5.000000	0.775519	0.117213
8	145.000000	5.000000	0.856876	0.168588
8	155.000000	5.000000	1.870617	0.328156
8	165.000000	5.000000	1.400555	0.604607
8	175.000000	5.000000	-2.214307	1.631945


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	0.310321	0.640043
9	25.000000	5.000000	-0.787576	0.674562
9	35.000000	5.000000	-0.784250	0.196037
9	45.000000	5.000000	-0.881939	0.240476
9	55.000000	5.000000	-1.237890	0.185375
9	65.000000	5.000000	-0.726745	0.127627
9	75.000000	5.000000	-0.365702	0.080806
9	85.000000	5.000000	-0.163580	0.106708
9	95.000000	5.000000	0.035614	0.102392
9	105.000000	5.000000	0.424672	0.136714
9	115.000000	5.000000	0.148555	0.112867
9	125.000000	5.000000	0.240213	0.104550
9	135.000000	5.000000	0.553673	0.189481
9	145.000000	5.000000	0.827595	0.270642
9	155.000000	5.000000	-0.400227	0.542557
9	165.000000	5.000000	-5.753744	2.825799
9	175.000000	5.000000	-1.507323	1.324877


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	-11.570423	4.824665
10	25.000000	5.000000	4.414367	1.438597
10	35.000000	5.000000	-1.267060	0.401966
10	45.000000	5.000000	-1.602601	0.208242
10	55.000000	5.000000	-1.551384	0.189277
10	65.000000	5.000000	-0.911284	0.109648
10	75.000000	5.000000	-0.506566	0.116648
10	85.000000	5.000000	-0.389225	0.087191
10	95.000000	5.000000	-0.076406	0.119268
10	105.000000	5.000000	0.250319	0.121994
10	115.000000	5.000000	0.517044	0.117284
10	125.000000	5.000000	0.646018	0.189337
10	135.000000	5.000000	0.269230	0.121249
10	145.000000	5.000000	0.442737	0.265986
10	155.000000	5.000000	0.960452	0.599459
10	165.000000	5.000000	26.583933	9.695758
10	175.000000	5.000000	-0.923526	0.591825


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.679933	0.930422
11	25.000000	5.000000	1.686149	0.608260
11	35.000000	5.000000	-2.252976	0.373117
11	45.000000	5.000000	-3.039571	0.434871
11	55.000000	5.000000	-1.547776	0.216868
11	65.000000	5.000000	-8.141994	1.173031
11	75.000000	5.000000	4.896012	0.782659
11	85.000000	5.000000	-0.119491	0.459201
11	95.000000	5.000000	-0.186926	0.267184
11	105.000000	5.000000	-2.657352	2.475723
11	115.000000	5.000000	0.876321	0.312683
11	125.000000	5.000000	0.293909	0.152702
11	135.000000	5.000000	1.137492	0.208576
11	145.000000	5.000000	1.665739	0.642714
11	155.000000	5.000000	1.193990	4.701858
11	165.000000	5.000000	-0.382943	0.651693
11	175.000000	5.000000	-0.230931	0.351994


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.914302	1.146357
12	25.000000	5.000000	1.949407	0.895248
12	35.000000	5.000000	-2.011180	0.562911
12	45.000000	5.000000	-2.161554	0.307015
12	55.000000	5.000000	-12.535936	1.462771
12	65.000000	5.000000	-30.889207	6.432820
12	75.000000	5.000000	-4.420237	0.696297
12	85.000000	5.000000	2.349852	0.517233
12	95.000000	5.000000	0.484863	0.379266
12	105.000000	5.000000	-0.071186	0.493259
12	115.000000	5.000000	0.684471	0.371099
12	125.000000	5.000000	1.788843	0.609374
12	135.000000	5.000000	-0.483148	0.320390
12	145.000000	5.000000	-18.926187	13.838492
12	155.000000	5.000000	-0.815442	0.347609
12	165.000000	5.000000	-0.998194	0.477356
12	175.000000	5.000000	-0.107962	0.708677


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-6.488832	16.249782
13	25.000000	5.000000	-1.242974	0.408910
13	35.000000	5.000000	-1.363683	0.174526
13	45.000000	5.000000	-1.308763	0.104766
13	55.000000	5.000000	-0.925464	0.072714
13	65.000000	5.000000	-0.993002	0.065890
13	75.000000	5.000000	-0.528861	0.054148
13	85.000000	5.000000	-0.389665	0.052238
13	95.000000	5.000000	-0.142020	0.055226
13	105.000000	5.000000	0.078642	0.057238
13	115.000000	5.000000	0.301157	0.071564
13	125.000000	5.000000	0.581553	0.087137
13	135.000000	5.000000	0.684734	0.112243
13	145.000000	5.000000	0.779369	0.167143
13	155.000000	5.000000	1.025344	0.293892
13	165.000000	5.000000	1.506821	0.599339
13	175.000000	5.000000	-2.734513	1.497623


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	0.392955	1.954561
14	25.000000	5.000000	-0.356666	0.264647
14	35.000000	5.000000	-1.191931	0.149994
14	45.000000	5.000000	-1.259910	0.090338
14	55.000000	5.000000	-1.171958	0.062123
14	65.000000	5.000000	-0.732980	0.051301
14	75.000000	5.000000	-0.560845	0.045227
14	85.000000	5.000000	-0.358691	0.041716
14	95.000000	5.000000	-0.095493	0.044643
14	105.000000	5.000000	0.133935	0.047853
14	115.000000	5.000000	0.452535	0.054360
14	125.000000	5.000000	0.600801	0.070276
14	135.000000	5.000000	0.964191	0.097216
14	145.000000	5.000000	0.707338	0.138064
14	155.000000	5.000000	1.168595	0.244403
14	165.000000	5.000000	-0.003223	0.448974
