TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.000000	0.000000
0	25.000000	5.000000	1.032500	10.219274
0	35.000000	5.000000	-4.449447	1.794289
0	45.000000	5.000000	-0.682483	0.163581
0	55.000000	5.000000	-2.027026	0.249350
0	65.000000	5.000000	-0.635796	0.149904
0	75.000000	5.000000	-0.681448	0.120536
0	85.000000	5.000000	-0.348560	0.109304
0	95.000000	5.000000	-0.097005	0.095017
0	105.000000	5.000000	0.104010	0.112384
0	115.000000	5.000000	0.151766	0.195953
0	125.000000	5.000000	0.003574	0.298377
0	135.000000	5.000000	-0.181072	0.174770
0	145.000000	5.000000	1.487224	0.699715
0	155.000000	5.000000	1.351468	0.827839
0	165.000000	5.000000	0.778368	0.835773
0	175.000000	5.000000	-0.224977	0.517804


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.369375	0.877931
1	25.000000	5.000000	-4.087619	2.241188
1	35.000000	5.000000	-1.600663	0.288370
1	45.000000	5.000000	-1.051768	0.179537
1	55.000000	5.000000	-1.235927	0.143943
1	65.000000	5.000000	-0.739969	0.106241
1	75.000000	5.000000	-0.630583	0.103590
1	85.000000	5.000000	-0.455107	0.083945
1	95.000000	5.000000	-0.038405	0.095166
1	105.000000	5.000000	0.224342	0.116383
1	115.000000	5.000000	0.515443	0.158234
1	125.000000	5.000000	1.066007	0.183147
1	135.000000	5.000000	0.396108	0.226263
1	145.000000	5.000000	0.760720	0.436385
1	155.000000	5.000000	4.226326	1.998272
1	165.000000	5.000000	-0.491924	1.046358
1	175.000000	5.000000	17.823852	9.789469


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	-0.391081	1.006680
2	25.000000	5.000000	-1.267415	0.517273
2	35.000000	5.000000	-0.995440	0.242647
2	45.000000	5.000000	-1.533656	0.157591
2	55.000000	5.000000	-0.996207	0.097035
2	65.000000	5.000000	-1.032222	0.086422
2	75.000000	5.000000	-0.520911	0.075604
2	85.000000	5.000000	-0.347590	0.069156
2	95.000000	5.000000	0.045925	0.077704
2	105.000000	5.000000	0.108078	0.078828
2	115.000000	5.000000	-0.006632	0.095527
2	125.000000	5.000000	0.261518	0.113839
2	135.000000	5.000000	0.967205	0.154238
2	145.000000	5.000000	0.873256	0.301060
2	155.000000	5.000000	0.882917	0.449633
2	165.000000	5.000000	1.379845	0.511969
2	175.000000	5.000000	-0.720005	1.680456


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	1.456670	1.913240
5	25.000000	5.000000	-0.308806	0.503043
5	35.000000	5.000000	-1.267199	0.268658
5	45.000000	5.000000	-0.961087	0.126197
5	55.000000	5.000000	-1.157443	0.097850
5	65.000000	5.000000	-0.668211	0.072538
5	75.000000	5.000000	-0.679235	0.062881
5	85.000000	5.000000	-0.419167	0.059899
5	95.000000	5.000000	-0.171222	0.066749
5	105.000000	5.000000	0.132354	0.069355
5	115.000000	5.000000	0.520429	0.083706
5	125.000000	5.000000	0.904355	0.117327
5	135.000000	5.000000	0.666023	0.156387
5	145.000000	5.000000	1.131753	0.270634
5	155.000000	5.000000	0.595857	0.318399
5	165.000000	5.000000	0.425759	1.241879
5	175.000000	5.000000	-0.397583	0.729247


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-40.841983	13.543879
6	25.000000	5.000000	-0.479762	0.496522
6	35.000000	5.000000	-1.148448	0.163006
6	45.000000	5.000000	-0.955768	0.110165
6	55.000000	5.000000	-1.116903	0.077998
6	65.000000	5.000000	-1.203474	0.090260
6	75.000000	5.000000	-0.453767	0.058126
6	85.000000	5.000000	-0.337035	0.060433
6	95.000000	5.000000	0.104021	0.058614
6	105.000000	5.000000	0.151005	0.067824
6	115.000000	5.000000	0.511743	0.078573
6	125.000000	5.000000	1.018903	0.112049
6	135.000000	5.000000	0.836073	0.131872
6	145.000000	5.000000	0.945276	0.230010
6	155.000000	5.000000	0.498583	0.343848
6	165.000000	5.000000	-3.317811	1.307543
6	175.000000	5.000000	0.294003	0.415029


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-4.905826	1.600973
7	25.000000	5.000000	-0.394886	0.466779
7	35.000000	5.000000	-1.640560	0.273845
7	45.000000	5.000000	-1.023317	0.150111
7	55.000000	5.000000	-1.205883	0.103453
7	65.000000	5.000000	-0.932726	0.080540
7	75.000000	5.000000	-0.871987	0.082836
7	85.000000	5.000000	-0.324090	0.074223
7	95.000000	5.000000	-0.103291	0.070864
7	105.000000	5.000000	0.022316	0.078468
7	115.000000	5.000000	0.187690	0.089245
7	125.000000	5.000000	0.888614	0.122875
7	135.000000	5.000000	0.868902	0.171309
7	145.000000	5.000000	0.910784	0.350064
7	155.000000	5.000000	1.829134	0.596373
7	165.000000	5.000000	3.883729	2.525747
7	175.000000	5.000000	-6.595394	10.420561


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-4.117892	1.841804
8	25.000000	5.000000	-2.416516	0.354616
8	35.000000	5.000000	-1.622919	0.244111
8	45.000000	5.000000	-1.547256	0.134496
8	55.000000	5.000000	-1.270748	0.093774
8	65.000000	5.000000	-0.888615	0.075725
8	75.000000	5.000000	-0.603082	0.067329
8	85.000000	5.000000	-0.378832	0.059265
8	95.000000	5.000000	-0.173456	0.063138
8	105.000000	5.000000	0.038725	0.071363
8	115.000000	5.000000	0.246889	0.084631
8	125.000000	5.000000	0.604780	0.095272
8	135.000000	5.000000	0.854906	0.136755
8	145.000000	5.000000	0.922760	0.197073
8	155.000000	5.000000	1.902394	0.386497
8	165.000000	5.000000	1.328903	0.562946
8	175.000000	5.000000	-176.439400	158.170710


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-0.108528	4.306501
9	25.000000	5.000000	-1.258394	0.902330
9	35.000000	5.000000	-0.884579	0.235834
9	45.000000	5.000000	-0.757292	0.332223
9	55.000000	5.000000	-1.946207	0.277736
9	65.000000	5.000000	-0.690459	0.124040
9	75.000000	5.000000	-0.391586	0.097503
9	85.000000	5.000000	-0.017551	0.122703
9	95.000000	5.000000	0.170363	0.134051
9	105.000000	5.000000	0.355162	0.182741
9	115.000000	5.000000	0.077520	0.142433
9	125.000000	5.000000	0.400391	0.134565
9	135.000000	5.000000	0.946593	0.258143
9	145.000000	5.000000	0.910679	0.315027
9	155.000000	5.000000	-0.515790	0.527167
9	165.000000	5.000000	-8.198396	16.752640
9	175.000000	5.000000	-0.643259	0.566881


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	4.548286	2.159310
10	35.000000	5.000000	-1.257639	0.391576
10	45.000000	5.000000	-1.528028	0.264427
10	55.000000	5.000000	-1.908944	0.274812
10	65.000000	5.000000	-0.918959	0.109953
10	75.000000	5.000000	-0.664439	0.170731
10	85.000000	5.000000	-0.500821	0.101189
10	95.000000	5.000000	0.084086	0.156672
10	105.000000	5.000000	0.204863	0.124976
10	115.000000	5.000000	0.682682	0.148606
10	125.000000	5.000000	0.664140	0.233076
10	135.000000	5.000000	0.283769	0.186089
10	145.000000	5.000000	0.430463	0.270841
10	155.000000	5.000000	16.827452	8.603394
10	165.000000	5.000000	-4.682584	3.655168
10	175.000000	5.000000	-0.533576	0.477682


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	3.273352	1.270060
11	25.000000	5.000000	1.313395	0.539022
11	35.000000	5.000000	-1.428260	0.342845
11	45.000000	5.000000	-39.112648	19.200349
11	55.000000	5.000000	-1.030210	0.160921
11	65.000000	5.000000	-18.077006	4.356477
11	75.000000	5.000000	-3.718918	0.693638
11	85.000000	5.000000	11.074403	9.764223
11	95.000000	5.000000	0.024788	0.151195
11	105.000000	5.000000	-1.993843	0.857295
11	115.000000	5.000000	0.386058	0.242888
11	125.000000	5.000000	0.267424	0.191875
11	135.000000	5.000000	1.376843	0.232979
11	145.000000	5.000000	0.570433	0.608484
11	155.000000	5.000000	-0.140353	0.714387
11	165.000000	5.000000	-0.799550	0.336728
11	175.000000	5.000000	-0.007210	0.247715


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	-26.012046	330.856473
12	35.000000	5.000000	-2.516305	1.149503
12	45.000000	5.000000	-2.718015	0.485546
12	55.000000	5.000000	-23.306591	4.476992
12	65.000000	5.000000	-20.984568	5.356346
12	75.000000	5.000000	-5.889262	0.922589
12	85.000000	5.000000	3.550686	0.859672
12	95.000000	5.000000	0.185205	0.226314
12	105.000000	5.000000	0.236602	0.350542
12	115.000000	5.000000	0.598419	0.583534
12	125.000000	5.000000	0.601381	0.346618
12	135.000000	5.000000	-0.091889	0.275356
12	145.000000	5.000000	0.934831	0.559429
12	155.000000	5.000000	2.308332	1.569098
12	165.000000	5.000000	-0.284467	0.233171
12	175.000000	5.000000	-1.307637	0.782936


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-6.022403	4.965688
13	25.000000	5.000000	-1.044484	0.502168
13	35.000000	5.000000	-1.396366	0.217594
13	45.000000	5.000000	-1.366492	0.127761
13	55.000000	5.000000	-1.040618	0.093400
13	65.000000	5.000000	-1.082798	0.081438
13	75.000000	5.000000	-0.533568	0.065947
13	85.000000	5.000000	-0.328032	0.061598
13	95.000000	5.000000	-0.208562	0.066613
13	105.000000	5.000000	0.079707	0.069879
13	115.000000	5.000000	0.317429	0.085477
13	125.000000	5.000000	0.599374	0.098467
13	135.000000	5.000000	0.770794	0.147485
13	145.000000	5.000000	0.923078	0.212110
13	155.000000	5.000000	1.399609	0.378575
13	165.000000	5.000000	1.717389	0.890205
13	175.000000	5.000000	-4.411414	3.071850


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	0.146972	1.242454
14	25.000000	5.000000	-0.125609	0.391294
14	35.000000	5.000000	-1.473112	0.198257
14	45.000000	5.000000	-1.299175	0.111598
14	55.000000	5.000000	-1.183955	0.072689
14	65.000000	5.000000	-0.796025	0.064440
14	75.000000	5.000000	-0.584036	0.054591
14	85.000000	5.000000	-0.332827	0.049784
14	95.000000	5.000000	-0.137656	0.053100
14	105.000000	5.000000	0.227636	0.057274
14	115.000000	5.000000	0.371206	0.064509
14	125.000000	5.000000	0.706961	0.085929
14	135.000000	5.000000	1.061200	0.127377
14	145.000000	5.000000	0.721417	0.168953
14	155.000000	5.000000	1.238195	0.326180
14	165.000000	5.000000	-0.523038	0.472774
