TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.000000	0.000000
0	25.000000	5.000000	0.000000	0.000000
0	35.000000	5.000000	0.000000	0.000000
0	45.000000	5.000000	0.000000	0.000000
0	55.000000	5.000000	0.000000	0.000000
0	65.000000	5.000000	0.000000	0.000000
0	75.000000	5.000000	0.000000	0.000000
0	85.000000	5.000000	0.000000	0.000000
0	95.000000	5.000000	0.000000	0.000000
0	105.000000	5.000000	0.000000	0.000000
0	115.000000	5.000000	0.000000	0.000000
0	125.000000	5.000000	0.000000	0.000000
0	135.000000	5.000000	0.000000	0.000000
0	145.000000	5.000000	0.000000	0.000000
0	155.000000	5.000000	0.000000	0.000000
0	165.000000	5.000000	0.000000	0.000000
0	175.000000	5.000000	0.000000	0.000000


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.915396	1.192226
1	25.000000	5.000000	-0.039837	1.927209
1	35.000000	5.000000	-1.386469	0.367684
1	45.000000	5.000000	-0.919976	0.169570
1	55.000000	5.000000	-1.158424	0.151614
1	65.000000	5.000000	-0.800080	0.112541
1	75.000000	5.000000	-0.480508	0.088509
1	85.000000	5.000000	-0.510109	0.078145
1	95.000000	5.000000	0.001012	0.081429
1	105.000000	5.000000	0.309271	0.094992
1	115.000000	5.000000	0.359055	0.123865
1	125.000000	5.000000	0.670687	0.166605
1	135.000000	5.000000	0.642819	0.209063
1	145.000000	5.000000	0.304517	0.262404
1	155.000000	5.000000	2.744978	1.723450
1	165.000000	5.000000	0.593633	1.400399
1	175.000000	5.000000	-2.387379	9.553664


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	5.311604	23.785116
2	25.000000	5.000000	-0.802952	0.402184
2	35.000000	5.000000	-0.803507	0.193052
2	45.000000	5.000000	-1.175532	0.134096
2	55.000000	5.000000	-0.845529	0.083644
2	65.000000	5.000000	-0.725542	0.074266
2	75.000000	5.000000	-0.469774	0.063885
2	85.000000	5.000000	-0.310962	0.057847
2	95.000000	5.000000	-0.024416	0.059327
2	105.000000	5.000000	0.113380	0.061655
2	115.000000	5.000000	0.092265	0.076134
2	125.000000	5.000000	0.248037	0.092055
2	135.000000	5.000000	0.910778	0.132634
2	145.000000	5.000000	0.861432	0.248106
2	155.000000	5.000000	1.060084	0.387174
2	165.000000	5.000000	0.823459	0.616003
2	175.000000	5.000000	-0.562157	1.454498


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	0.664901	2.229814
5	25.000000	5.000000	-0.874351	0.518859
5	35.000000	5.000000	-1.348307	0.300207
5	45.000000	5.000000	-1.044812	0.140732
5	55.000000	5.000000	-0.888578	0.102153
5	65.000000	5.000000	-0.516745	0.065585
5	75.000000	5.000000	-0.604364	0.065500
5	85.000000	5.000000	-0.270834	0.052240
5	95.000000	5.000000	-0.160218	0.058214
5	105.000000	5.000000	0.101169	0.057658
5	115.000000	5.000000	0.532366	0.079214
5	125.000000	5.000000	0.627149	0.107016
5	135.000000	5.000000	0.499961	0.130458
5	145.000000	5.000000	1.409677	0.412816
5	155.000000	5.000000	0.458509	0.296775
5	165.000000	5.000000	-0.403920	0.896535
5	175.000000	5.000000	0.359975	0.647662


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-1.468546	5.399385
6	25.000000	5.000000	-1.463521	1.020508
6	35.000000	5.000000	-1.039857	0.185990
6	45.000000	5.000000	-0.832287	0.118208
6	55.000000	5.000000	-0.957055	0.092017
6	65.000000	5.000000	-0.937778	0.101135
6	75.000000	5.000000	-0.362674	0.053247
6	85.000000	5.000000	-0.339678	0.054845
6	95.000000	5.000000	0.027516	0.048294
6	105.000000	5.000000	0.163377	0.053716
6	115.000000	5.000000	0.400040	0.070864
6	125.000000	5.000000	0.688750	0.103936
6	135.000000	5.000000	0.722815	0.137843
6	145.000000	5.000000	0.650505	0.166195
6	155.000000	5.000000	0.532769	0.256447
6	165.000000	5.000000	3.665522	7.658014
6	175.000000	5.000000	0.116299	0.386119


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-1.059724	0.960144
7	25.000000	5.000000	-0.613614	0.455869
7	35.000000	5.000000	-1.257579	0.239898
7	45.000000	5.000000	-1.059376	0.142009
7	55.000000	5.000000	-1.113141	0.102761
7	65.000000	5.000000	-0.891443	0.079901
7	75.000000	5.000000	-0.697751	0.075448
7	85.000000	5.000000	-0.334150	0.061571
7	95.000000	5.000000	-0.077302	0.058334
7	105.000000	5.000000	-0.021284	0.061690
7	115.000000	5.000000	0.187752	0.073803
7	125.000000	5.000000	0.620707	0.107739
7	135.000000	5.000000	0.858548	0.154674
7	145.000000	5.000000	0.188655	0.235206
7	155.000000	5.000000	0.442476	0.385358
7	165.000000	5.000000	6.905950	30.129802
7	175.000000	5.000000	0.432799	3.068083


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	5.709177	52.439948
8	25.000000	5.000000	-2.070856	0.476570
8	35.000000	5.000000	-1.364911	0.195219
8	45.000000	5.000000	-1.279924	0.122285
8	55.000000	5.000000	-1.112000	0.083798
8	65.000000	5.000000	-0.726610	0.066026
8	75.000000	5.000000	-0.484289	0.055496
8	85.000000	5.000000	-0.328913	0.050828
8	95.000000	5.000000	-0.061700	0.052223
8	105.000000	5.000000	0.052900	0.055395
8	115.000000	5.000000	0.360226	0.071101
8	125.000000	5.000000	0.609579	0.086273
8	135.000000	5.000000	0.626411	0.116490
8	145.000000	5.000000	0.896524	0.176472
8	155.000000	5.000000	1.593892	0.400456
8	165.000000	5.000000	1.695406	0.739165
8	175.000000	5.000000	-8.704547	26.976631


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	0.000000	0.000000
9	25.000000	5.000000	0.000000	0.000000
9	35.000000	5.000000	0.000000	0.000000
9	45.000000	5.000000	0.000000	0.000000
9	55.000000	5.000000	0.000000	0.000000
9	65.000000	5.000000	0.000000	0.000000
9	75.000000	5.000000	0.000000	0.000000
9	85.000000	5.000000	0.000000	0.000000
9	95.000000	5.000000	0.000000	0.000000
9	105.000000	5.000000	0.000000	0.000000
9	115.000000	5.000000	0.000000	0.000000
9	125.000000	5.000000	0.000000	0.000000
9	135.000000	5.000000	0.000000	0.000000
9	145.000000	5.000000	0.000000	0.000000
9	155.000000	5.000000	0.000000	0.000000
9	165.000000	5.000000	0.000000	0.000000
9	175.000000	5.000000	0.000000	0.000000


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	4.272097	4.504227
10	35.000000	5.000000	-1.125929	0.585503
10	45.000000	5.000000	-1.240150	0.458265
10	55.000000	5.000000	-1.186095	0.401911
10	65.000000	5.000000	-0.694333	0.171422
10	75.000000	5.000000	-0.426437	0.139025
10	85.000000	5.000000	-0.345282	0.097488
10	95.000000	5.000000	-0.094650	0.118893
10	105.000000	5.000000	0.066494	0.108497
10	115.000000	5.000000	0.414671	0.136330
10	125.000000	5.000000	0.904732	0.359561
10	135.000000	5.000000	0.220718	0.116864
10	145.000000	5.000000	0.530578	0.375491
10	155.000000	5.000000	1.115132	1.167049
10	165.000000	5.000000	-73.478184	3305.314356
10	175.000000	5.000000	0.595292	1.836333


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.000000	0.000000
11	25.000000	5.000000	0.000000	0.000000
11	35.000000	5.000000	0.000000	0.000000
11	45.000000	5.000000	0.000000	0.000000
11	55.000000	5.000000	0.000000	0.000000
11	65.000000	5.000000	0.000000	0.000000
11	75.000000	5.000000	0.000000	0.000000
11	85.000000	5.000000	0.000000	0.000000
11	95.000000	5.000000	0.000000	0.000000
11	105.000000	5.000000	0.000000	0.000000
11	115.000000	5.000000	0.000000	0.000000
11	125.000000	5.000000	0.000000	0.000000
11	135.000000	5.000000	0.000000	0.000000
11	145.000000	5.000000	0.000000	0.000000
11	155.000000	5.000000	0.000000	0.000000
11	165.000000	5.000000	0.000000	0.000000
11	175.000000	5.000000	0.000000	0.000000


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	0.000000	0.000000
12	35.000000	5.000000	0.000000	0.000000
12	45.000000	5.000000	0.000000	0.000000
12	55.000000	5.000000	0.000000	0.000000
12	65.000000	5.000000	0.000000	0.000000
12	75.000000	5.000000	0.000000	0.000000
12	85.000000	5.000000	0.000000	0.000000
12	95.000000	5.000000	0.000000	0.000000
12	105.000000	5.000000	0.000000	0.000000
12	115.000000	5.000000	0.000000	0.000000
12	125.000000	5.000000	0.000000	0.000000
12	135.000000	5.000000	0.000000	0.000000
12	145.000000	5.000000	0.000000	0.000000
12	155.000000	5.000000	0.000000	0.000000
12	165.000000	5.000000	0.000000	0.000000
12	175.000000	5.000000	0.000000	0.000000


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-2.704847	5.783481
13	25.000000	5.000000	-1.257988	0.464649
13	35.000000	5.000000	-1.154161	0.180595
13	45.000000	5.000000	-1.167720	0.112688
13	55.000000	5.000000	-0.863528	0.077979
13	65.000000	5.000000	-0.877126	0.070968
13	75.000000	5.000000	-0.450965	0.052942
13	85.000000	5.000000	-0.359318	0.052233
13	95.000000	5.000000	-0.098393	0.052979
13	105.000000	5.000000	0.072388	0.054922
13	115.000000	5.000000	0.285931	0.071158
13	125.000000	5.000000	0.454564	0.086823
13	135.000000	5.000000	0.550411	0.111800
13	145.000000	5.000000	0.482584	0.165401
13	155.000000	5.000000	0.580972	0.297918
13	165.000000	5.000000	1.589122	0.812640
13	175.000000	5.000000	-2.622407	2.677532


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	1.296999	1.276330
14	25.000000	5.000000	-0.352017	0.273387
14	35.000000	5.000000	-1.034992	0.162806
14	45.000000	5.000000	-1.045917	0.097411
14	55.000000	5.000000	-1.063547	0.071112
14	65.000000	5.000000	-0.676409	0.053877
14	75.000000	5.000000	-0.518563	0.045808
14	85.000000	5.000000	-0.286817	0.041659
14	95.000000	5.000000	-0.060292	0.043101
14	105.000000	5.000000	0.135857	0.046932
14	115.000000	5.000000	0.304752	0.052950
14	125.000000	5.000000	0.518978	0.070498
14	135.000000	5.000000	0.771220	0.101395
14	145.000000	5.000000	0.728481	0.157671
14	155.000000	5.000000	0.937264	0.254170
14	165.000000	5.000000	0.053303	0.438468
14	175.000000	5.000000	2.678708	1.528940


15	5.000000	5.000000	0.000000	0.000000
