TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	-2.290312	2.738265
0	25.000000	5.000000	-0.155604	0.757038
0	35.000000	5.000000	-10.136144	3.667407
0	45.000000	5.000000	-0.460897	0.124665
0	55.000000	5.000000	-1.001767	0.142054
0	65.000000	5.000000	-0.546757	0.120361
0	75.000000	5.000000	-0.544353	0.109362
0	85.000000	5.000000	-0.323085	0.101855
0	95.000000	5.000000	-0.136256	0.085111
0	105.000000	5.000000	0.063063	0.097726
0	115.000000	5.000000	0.341855	0.188642
0	125.000000	5.000000	0.406932	0.265876
0	135.000000	5.000000	0.502428	0.172557
0	145.000000	5.000000	4.268803	1.205335
0	155.000000	5.000000	1.938013	0.520201
0	165.000000	5.000000	-0.095964	1.226562
0	175.000000	5.000000	0.244559	0.550582


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	1.011116	1.010816
1	25.000000	5.000000	0.097655	2.187765
1	35.000000	5.000000	-1.481746	0.294567
1	45.000000	5.000000	-0.958928	0.152350
1	55.000000	5.000000	-1.269273	0.123779
1	65.000000	5.000000	-0.832609	0.102716
1	75.000000	5.000000	-0.507632	0.088005
1	85.000000	5.000000	-0.517078	0.077091
1	95.000000	5.000000	0.024403	0.086581
1	105.000000	5.000000	0.266286	0.098108
1	115.000000	5.000000	0.423284	0.127590
1	125.000000	5.000000	0.704683	0.157330
1	135.000000	5.000000	0.585484	0.199563
1	145.000000	5.000000	0.355278	0.273574
1	155.000000	5.000000	2.244136	0.816690
1	165.000000	5.000000	0.925431	1.275537
1	175.000000	5.000000	0.457910	4.818427


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	4.566145	4.435036
2	25.000000	5.000000	-0.976693	0.405026
2	35.000000	5.000000	-0.819124	0.192642
2	45.000000	5.000000	-1.231866	0.124466
2	55.000000	5.000000	-0.945454	0.081694
2	65.000000	5.000000	-0.762022	0.073668
2	75.000000	5.000000	-0.463737	0.065737
2	85.000000	5.000000	-0.344012	0.060709
2	95.000000	5.000000	-0.026162	0.063201
2	105.000000	5.000000	0.111926	0.065372
2	115.000000	5.000000	0.127403	0.080968
2	125.000000	5.000000	0.252837	0.096983
2	135.000000	5.000000	0.978469	0.127318
2	145.000000	5.000000	0.845517	0.242003
2	155.000000	5.000000	1.321994	0.359963
2	165.000000	5.000000	0.872138	0.603901
2	175.000000	5.000000	-0.300744	1.435665


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-0.170242	2.103570
5	25.000000	5.000000	-0.735638	0.441864
5	35.000000	5.000000	-1.290461	0.212245
5	45.000000	5.000000	-1.109221	0.108209
5	55.000000	5.000000	-0.994300	0.082359
5	65.000000	5.000000	-0.596583	0.061473
5	75.000000	5.000000	-0.645218	0.058785
5	85.000000	5.000000	-0.301779	0.053382
5	95.000000	5.000000	-0.149110	0.060951
5	105.000000	5.000000	0.166228	0.061299
5	115.000000	5.000000	0.583322	0.073678
5	125.000000	5.000000	0.707379	0.095212
5	135.000000	5.000000	0.537764	0.123166
5	145.000000	5.000000	1.586991	0.244133
5	155.000000	5.000000	0.548729	0.286175
5	165.000000	5.000000	-0.466450	0.870339
5	175.000000	5.000000	0.012099	0.622044


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	0.134414	3.455347
6	25.000000	5.000000	-1.629292	0.641996
6	35.000000	5.000000	-1.071202	0.139151
6	45.000000	5.000000	-0.831239	0.095650
6	55.000000	5.000000	-1.015053	0.067251
6	65.000000	5.000000	-1.003285	0.073910
6	75.000000	5.000000	-0.409437	0.051967
6	85.000000	5.000000	-0.327749	0.053849
6	95.000000	5.000000	0.033625	0.051232
6	105.000000	5.000000	0.135618	0.056119
6	115.000000	5.000000	0.405189	0.068033
6	125.000000	5.000000	0.748106	0.086965
6	135.000000	5.000000	0.813785	0.113773
6	145.000000	5.000000	0.724456	0.140949
6	155.000000	5.000000	0.438253	0.231794
6	165.000000	5.000000	5.290868	1.995192
6	175.000000	5.000000	0.188604	0.399153


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-1.397334	0.838999
7	25.000000	5.000000	-0.655532	0.460754
7	35.000000	5.000000	-1.351588	0.209508
7	45.000000	5.000000	-1.204658	0.129258
7	55.000000	5.000000	-1.176173	0.089733
7	65.000000	5.000000	-0.915393	0.073222
7	75.000000	5.000000	-0.727390	0.072919
7	85.000000	5.000000	-0.319771	0.063679
7	95.000000	5.000000	-0.091582	0.062003
7	105.000000	5.000000	-0.001915	0.065645
7	115.000000	5.000000	0.241585	0.077667
7	125.000000	5.000000	0.687946	0.106100
7	135.000000	5.000000	0.866319	0.143317
7	145.000000	5.000000	0.383977	0.248040
7	155.000000	5.000000	0.324349	0.395451
7	165.000000	5.000000	4.650135	9.434603
7	175.000000	5.000000	2.422817	3.274790


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	9.201079	10.626922
8	25.000000	5.000000	-2.461507	0.377480
8	35.000000	5.000000	-1.415142	0.181787
8	45.000000	5.000000	-1.387301	0.114566
8	55.000000	5.000000	-1.170765	0.079368
8	65.000000	5.000000	-0.754647	0.066096
8	75.000000	5.000000	-0.492803	0.057293
8	85.000000	5.000000	-0.357255	0.053376
8	95.000000	5.000000	-0.079704	0.055640
8	105.000000	5.000000	0.006941	0.058907
8	115.000000	5.000000	0.361558	0.074421
8	125.000000	5.000000	0.695845	0.088008
8	135.000000	5.000000	0.661831	0.118434
8	145.000000	5.000000	0.901576	0.172199
8	155.000000	5.000000	1.732480	0.341930
8	165.000000	5.000000	1.532794	0.591672
8	175.000000	5.000000	-12.097228	5.754419


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-7.472610	19.951274
9	25.000000	5.000000	-1.068498	0.692799
9	35.000000	5.000000	-0.674590	0.195705
9	45.000000	5.000000	-0.793253	0.268072
9	55.000000	5.000000	-1.397654	0.198229
9	65.000000	5.000000	-0.647606	0.135041
9	75.000000	5.000000	-0.241123	0.084459
9	85.000000	5.000000	-0.223254	0.121838
9	95.000000	5.000000	0.031569	0.103701
9	105.000000	5.000000	0.486789	0.141797
9	115.000000	5.000000	0.079836	0.108406
9	125.000000	5.000000	0.278315	0.118767
9	135.000000	5.000000	0.412749	0.198900
9	145.000000	5.000000	1.016364	0.291684
9	155.000000	5.000000	0.492769	0.476693
9	165.000000	5.000000	-5.065483	3.309003
9	175.000000	5.000000	-0.613411	2.148647


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	4.384139	1.775726
10	35.000000	5.000000	-1.168844	0.364452
10	45.000000	5.000000	-1.334873	0.216516
10	55.000000	5.000000	-1.342161	0.194881
10	65.000000	5.000000	-0.752348	0.120631
10	75.000000	5.000000	-0.424405	0.121332
10	85.000000	5.000000	-0.346546	0.088500
10	95.000000	5.000000	-0.082127	0.127346
10	105.000000	5.000000	0.084160	0.115897
10	115.000000	5.000000	0.507806	0.119803
10	125.000000	5.000000	0.905732	0.209813
10	135.000000	5.000000	0.226751	0.115926
10	145.000000	5.000000	0.587902	0.296742
10	155.000000	5.000000	1.799601	0.661286
10	165.000000	5.000000	180.816926	261.323192
10	175.000000	5.000000	0.057930	1.510362


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.266634	0.789727
11	25.000000	5.000000	1.532696	0.618709
11	35.000000	5.000000	-1.933749	0.360179
11	45.000000	5.000000	-3.741150	0.574789
11	55.000000	5.000000	-1.951577	0.306607
11	65.000000	5.000000	-5.055736	0.729213
11	75.000000	5.000000	-5.761813	0.958385
11	85.000000	5.000000	0.006364	0.352198
11	95.000000	5.000000	-0.146638	0.224060
11	105.000000	5.000000	-0.094997	1.102944
11	115.000000	5.000000	1.067982	0.342458
11	125.000000	5.000000	0.317696	0.229575
11	135.000000	5.000000	0.590984	0.145305
11	145.000000	5.000000	1.114847	0.661442
11	155.000000	5.000000	19.176587	46.941408
11	165.000000	5.000000	0.709261	1.047498
11	175.000000	5.000000	-0.777177	0.360319


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.721017	1.035531
12	25.000000	5.000000	2.914680	1.225251
12	35.000000	5.000000	-1.248687	0.467688
12	45.000000	5.000000	-1.986826	0.332560
12	55.000000	5.000000	-3.696316	0.418179
12	65.000000	5.000000	-7.503996	1.042909
12	75.000000	5.000000	-3.790197	0.851401
12	85.000000	5.000000	2.019002	0.774197
12	95.000000	5.000000	0.278994	0.375289
12	105.000000	5.000000	0.498318	1.159963
12	115.000000	5.000000	0.333921	0.409705
12	125.000000	5.000000	50.797273	87.258040
12	135.000000	5.000000	-0.905378	0.420360
12	145.000000	5.000000	5.188970	2.067568
12	155.000000	5.000000	-0.594273	0.284977
12	165.000000	5.000000	-1.084169	0.567946
12	175.000000	5.000000	-0.017050	0.825278


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-2.639890	3.365025
13	25.000000	5.000000	-1.276871	0.450519
13	35.000000	5.000000	-1.377749	0.175486
13	45.000000	5.000000	-1.186559	0.107506
13	55.000000	5.000000	-0.914588	0.077298
13	65.000000	5.000000	-0.954595	0.070158
13	75.000000	5.000000	-0.499054	0.055036
13	85.000000	5.000000	-0.361465	0.054655
13	95.000000	5.000000	-0.103042	0.056271
13	105.000000	5.000000	0.042738	0.058283
13	115.000000	5.000000	0.310135	0.075018
13	125.000000	5.000000	0.459159	0.090217
13	135.000000	5.000000	0.577913	0.115059
13	145.000000	5.000000	0.559708	0.171646
13	155.000000	5.000000	0.760564	0.308008
13	165.000000	5.000000	1.653708	0.700501
13	175.000000	5.000000	-2.179382	1.706961


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	1.038034	1.010521
14	25.000000	5.000000	-0.331544	0.288369
14	35.000000	5.000000	-1.151016	0.156056
14	45.000000	5.000000	-1.126771	0.092024
14	55.000000	5.000000	-1.128523	0.065954
14	65.000000	5.000000	-0.678861	0.053218
14	75.000000	5.000000	-0.525970	0.046508
14	85.000000	5.000000	-0.299713	0.043727
14	95.000000	5.000000	-0.057639	0.045867
14	105.000000	5.000000	0.155460	0.049744
14	115.000000	5.000000	0.336752	0.055486
14	125.000000	5.000000	0.571651	0.072034
14	135.000000	5.000000	0.808544	0.099121
14	145.000000	5.000000	0.721456	0.156080
14	155.000000	5.000000	0.941046	0.241143
14	165.000000	5.000000	-0.084400	0.465757
