TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	-1.005636	1.416719
0	15.000000	5.000000	-7.572786	9.925609
0	25.000000	5.000000	0.339438	2.771109
0	35.000000	5.000000	-1.809584	0.983863
0	45.000000	5.000000	-0.407059	0.143876
0	55.000000	5.000000	-0.907796	0.260387
0	65.000000	5.000000	-0.665846	0.154190
0	75.000000	5.000000	-0.443477	0.108305
0	85.000000	5.000000	-0.333724	0.104613
0	95.000000	5.000000	-0.056613	0.081184
0	105.000000	5.000000	-0.007105	0.092164
0	115.000000	5.000000	0.270394	0.155639
0	125.000000	5.000000	0.382608	0.202350
0	135.000000	5.000000	0.515062	0.232440
0	145.000000	5.000000	2.585631	2.431458
0	155.000000	5.000000	0.392692	0.283748
0	165.000000	5.000000	0.443527	1.310368
0	175.000000	5.000000	1.334437	3.095458


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	-0.239543	1.713034
1	25.000000	5.000000	0.232977	0.954291
1	35.000000	5.000000	-1.037426	0.255662
1	45.000000	5.000000	-0.814235	0.142787
1	55.000000	5.000000	-1.017407	0.122935
1	65.000000	5.000000	-0.728014	0.104704
1	75.000000	5.000000	-0.448360	0.079047
1	85.000000	5.000000	-0.464971	0.074717
1	95.000000	5.000000	0.097223	0.076204
1	105.000000	5.000000	0.277500	0.088123
1	115.000000	5.000000	0.394345	0.110951
1	125.000000	5.000000	0.792891	0.162701
1	135.000000	5.000000	0.236803	0.160536
1	145.000000	5.000000	0.533619	0.258330
1	155.000000	5.000000	1.067025	0.982173
1	165.000000	5.000000	1.419323	2.109761
1	175.000000	5.000000	2.696949	9.657616


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	18.770545	237.112410
2	25.000000	5.000000	-1.075280	0.455579
2	35.000000	5.000000	-0.995549	0.175799
2	45.000000	5.000000	-1.063686	0.116190
2	55.000000	5.000000	-0.765156	0.076406
2	65.000000	5.000000	-0.632989	0.067809
2	75.000000	5.000000	-0.469742	0.059382
2	85.000000	5.000000	-0.270681	0.052719
2	95.000000	5.000000	-0.070324	0.056082
2	105.000000	5.000000	0.033578	0.059479
2	115.000000	5.000000	0.157692	0.070865
2	125.000000	5.000000	0.216264	0.086091
2	135.000000	5.000000	0.699357	0.118383
2	145.000000	5.000000	0.340147	0.186620
2	155.000000	5.000000	1.006563	0.381228
2	165.000000	5.000000	1.089791	0.584624
2	175.000000	5.000000	-1.222359	1.390600


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.504489	0.278630
4	35.000000	5.000000	-1.266897	1.185569
4	45.000000	5.000000	-0.980064	0.479085
4	55.000000	5.000000	-14.950320	82.249928
4	65.000000	5.000000	-5.463455	13.487350
4	75.000000	5.000000	1.249897	1.170424
4	85.000000	5.000000	-0.737175	0.622106
4	95.000000	5.000000	-0.712600	1.225785
4	105.000000	5.000000	-0.799306	4.186317
4	115.000000	5.000000	0.943769	1.286097
4	125.000000	5.000000	-17.257207	333.040351
4	135.000000	5.000000	3.117960	13.765076
4	145.000000	5.000000	-0.933486	0.907562
4	155.000000	5.000000	-1.254389	7.501573
4	165.000000	5.000000	0.007061	0.125519
4	175.000000	5.000000	-0.696355	0.982778


5	5.000000	5.000000	0.000000	0.000000
