TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.955018	2.665611
0	25.000000	5.000000	-0.371913	0.887896
0	35.000000	5.000000	1.500548	9.193383
0	45.000000	5.000000	-0.302040	0.102766
0	55.000000	5.000000	-0.147481	0.118107
0	65.000000	5.000000	-0.286946	0.101041
0	75.000000	5.000000	-0.298511	0.092386
0	85.000000	5.000000	-0.127886	0.079750
0	95.000000	5.000000	-0.214987	0.069488
0	105.000000	5.000000	-0.126169	0.077706
0	115.000000	5.000000	0.027301	0.120130
0	125.000000	5.000000	0.187472	0.215941
0	135.000000	5.000000	0.397112	0.177230
0	145.000000	5.000000	2.326564	1.993698
0	155.000000	5.000000	-0.511717	0.503206
0	165.000000	5.000000	-131.908819	20828.574345
0	175.000000	5.000000	-0.513432	0.687393


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	-0.357983	0.665801
1	25.000000	5.000000	0.104260	1.142675
1	35.000000	5.000000	-0.166834	0.236369
1	45.000000	5.000000	-0.242293	0.109474
1	55.000000	5.000000	-0.522758	0.100460
1	65.000000	5.000000	-0.292164	0.077261
1	75.000000	5.000000	-0.369301	0.070395
1	85.000000	5.000000	-0.266516	0.058401
1	95.000000	5.000000	-0.345824	0.067166
1	105.000000	5.000000	-0.263993	0.078588
1	115.000000	5.000000	0.022865	0.094130
1	125.000000	5.000000	-0.005812	0.113287
1	135.000000	5.000000	-0.507543	0.166772
1	145.000000	5.000000	0.727623	0.276527
1	155.000000	5.000000	0.151909	0.562131
1	165.000000	5.000000	4.099751	6.813320
1	175.000000	5.000000	-4.358061	21.290174


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	-2.036277	3.612312
2	25.000000	5.000000	0.074443	0.328793
2	35.000000	5.000000	-0.319858	0.156371
2	45.000000	5.000000	-0.174627	0.088747
2	55.000000	5.000000	-0.141831	0.059818
2	65.000000	5.000000	-0.301275	0.055311
2	75.000000	5.000000	-0.207901	0.049921
2	85.000000	5.000000	-0.311122	0.047252
2	95.000000	5.000000	-0.197342	0.049938
2	105.000000	5.000000	-0.073674	0.050596
2	115.000000	5.000000	-0.131395	0.062178
2	125.000000	5.000000	0.042570	0.074007
2	135.000000	5.000000	-0.048288	0.093096
2	145.000000	5.000000	0.253934	0.176582
2	155.000000	5.000000	0.868227	0.329105
2	165.000000	5.000000	0.683348	0.592832
2	175.000000	5.000000	1.549414	1.310576


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.935179	0.716436
4	25.000000	5.000000	8.839426	93.572682
4	35.000000	5.000000	2.255974	6.545249
4	45.000000	5.000000	-0.510528	0.464285
4	55.000000	5.000000	-0.320279	0.184497
4	65.000000	5.000000	-1.132291	1.113835
4	75.000000	5.000000	0.616946	0.723450
4	85.000000	5.000000	-0.280369	0.261609
4	95.000000	5.000000	-74.992409	6766.599860
4	105.000000	5.000000	-0.312342	0.382808
4	115.000000	5.000000	0.137725	0.139270
4	125.000000	5.000000	0.106282	0.291894
4	135.000000	5.000000	0.315418	0.482596
4	145.000000	5.000000	0.362390	0.924956
4	155.000000	5.000000	0.168964	0.153425
4	165.000000	5.000000	0.071448	0.116753
4	175.000000	5.000000	-0.237554	1.289867


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-1.589150	1.652686
5	25.000000	5.000000	-0.496134	0.311080
5	35.000000	5.000000	-0.373643	0.165283
5	45.000000	5.000000	-0.317200	0.087252
5	55.000000	5.000000	-0.395732	0.065926
5	65.000000	5.000000	-0.350210	0.050361
5	75.000000	5.000000	-0.332022	0.045250
5	85.000000	5.000000	-0.256179	0.041746
5	95.000000	5.000000	-0.142114	0.046337
5	105.000000	5.000000	-0.085185	0.047533
5	115.000000	5.000000	-0.055623	0.053311
5	125.000000	5.000000	0.002175	0.072873
5	135.000000	5.000000	0.294484	0.103943
5	145.000000	5.000000	0.149354	0.177707
5	155.000000	5.000000	0.598275	0.262664
5	165.000000	5.000000	1.348117	1.036539
5	175.000000	5.000000	0.122001	0.408150


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-0.953925	1.710287
6	25.000000	5.000000	-0.567257	0.493312
6	35.000000	5.000000	-0.318557	0.115870
6	45.000000	5.000000	-0.262106	0.075821
6	55.000000	5.000000	-0.319292	0.052095
6	65.000000	5.000000	-0.328134	0.057048
6	75.000000	5.000000	-0.261051	0.042082
6	85.000000	5.000000	-0.188521	0.040866
6	95.000000	5.000000	-0.276131	0.042230
6	105.000000	5.000000	-0.131002	0.045302
6	115.000000	5.000000	0.040255	0.050803
6	125.000000	5.000000	-0.066939	0.065163
6	135.000000	5.000000	0.326806	0.099105
6	145.000000	5.000000	0.031078	0.100664
6	155.000000	5.000000	0.244498	0.167785
6	165.000000	5.000000	-1.042389	1.805457
6	175.000000	5.000000	-0.445371	0.399435


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-0.216817	0.672332
7	25.000000	5.000000	-0.407104	0.339162
7	35.000000	5.000000	-0.114342	0.163831
7	45.000000	5.000000	-0.450642	0.093243
7	55.000000	5.000000	-0.411054	0.066624
7	65.000000	5.000000	-0.228316	0.053313
7	75.000000	5.000000	-0.331063	0.054033
7	85.000000	5.000000	-0.324587	0.050508
7	95.000000	5.000000	-0.230489	0.048726
7	105.000000	5.000000	-0.124585	0.050639
7	115.000000	5.000000	0.142872	0.059432
7	125.000000	5.000000	0.066063	0.078194
7	135.000000	5.000000	0.106305	0.108413
7	145.000000	5.000000	0.326934	0.195006
7	155.000000	5.000000	0.800425	0.342474
7	165.000000	5.000000	0.602849	3.123668
7	175.000000	5.000000	-6.609730	13.931665


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-11.324873	187.311428
8	25.000000	5.000000	0.072758	0.265803
8	35.000000	5.000000	-0.530062	0.146923
8	45.000000	5.000000	-0.496911	0.085204
8	55.000000	5.000000	-0.234655	0.055161
8	65.000000	5.000000	-0.330421	0.048913
8	75.000000	5.000000	-0.299937	0.043527
8	85.000000	5.000000	-0.169737	0.040676
8	95.000000	5.000000	-0.239633	0.042857
8	105.000000	5.000000	-0.277451	0.046711
8	115.000000	5.000000	-0.022015	0.055859
8	125.000000	5.000000	-0.069164	0.064819
8	135.000000	5.000000	0.193986	0.091330
8	145.000000	5.000000	0.425340	0.135303
8	155.000000	5.000000	0.077685	0.254042
8	165.000000	5.000000	0.736150	0.520767
8	175.000000	5.000000	0.391761	1.307612


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	-0.039236	0.454875
9	25.000000	5.000000	0.471976	0.593830
9	35.000000	5.000000	0.110625	0.150665
9	45.000000	5.000000	-0.501627	0.224828
9	55.000000	5.000000	-0.000621	0.138158
9	65.000000	5.000000	-0.102443	0.098252
9	75.000000	5.000000	-0.206623	0.067085
9	85.000000	5.000000	-0.191415	0.086876
9	95.000000	5.000000	-0.106970	0.080252
9	105.000000	5.000000	-0.222939	0.113870
9	115.000000	5.000000	-0.070459	0.086313
9	125.000000	5.000000	0.108505	0.081196
9	135.000000	5.000000	0.252388	0.160549
9	145.000000	5.000000	0.048644	0.206036
9	155.000000	5.000000	1.099866	0.894683
9	165.000000	5.000000	-0.178974	2.250989
9	175.000000	5.000000	0.325679	1.258586


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	2.587911	4.624732
10	25.000000	5.000000	1.487182	1.532491
10	35.000000	5.000000	-0.557399	0.386352
10	45.000000	5.000000	-0.323551	0.183850
10	55.000000	5.000000	-0.228732	0.156022
10	65.000000	5.000000	-0.229231	0.090921
10	75.000000	5.000000	-0.308723	0.105619
10	85.000000	5.000000	-0.359575	0.085137
10	95.000000	5.000000	-0.223390	0.101008
10	105.000000	5.000000	-0.066343	0.094014
10	115.000000	5.000000	0.144009	0.092994
10	125.000000	5.000000	0.055545	0.145704
10	135.000000	5.000000	-0.083773	0.094574
10	145.000000	5.000000	0.373765	0.257623
10	155.000000	5.000000	0.573939	0.728551
10	165.000000	5.000000	15.193313	181.017953
10	175.000000	5.000000	0.563162	0.624046


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	1.216485	1.150487
11	25.000000	5.000000	1.350880	0.668837
11	35.000000	5.000000	-1.323188	1.027407
11	45.000000	5.000000	0.114282	0.335846
11	55.000000	5.000000	-0.671241	0.399214
11	65.000000	5.000000	-3.314634	6.947624
11	75.000000	5.000000	2.024795	3.818334
11	85.000000	5.000000	-0.235875	0.481891
11	95.000000	5.000000	-0.297842	0.286236
11	105.000000	5.000000	4.125108	25.043803
11	115.000000	5.000000	-0.430629	0.468577
11	125.000000	5.000000	0.029340	0.121207
11	135.000000	5.000000	-0.001413	0.158586
11	145.000000	5.000000	-0.753896	1.576636
11	155.000000	5.000000	-0.582189	6.416284
11	165.000000	5.000000	0.257804	0.588426
11	175.000000	5.000000	-0.335440	0.433905


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	-0.686278	1.023629
12	25.000000	5.000000	2.714978	2.788770
12	35.000000	5.000000	-0.398824	0.559138
12	45.000000	5.000000	-0.109344	0.234086
12	55.000000	5.000000	-4.069430	8.950119
12	65.000000	5.000000	-10.368164	64.944004
12	75.000000	5.000000	-2.256839	2.975455
12	85.000000	5.000000	1.556928	1.651473
12	95.000000	5.000000	-1.586711	1.196141
12	105.000000	5.000000	-0.651483	0.749677
12	115.000000	5.000000	0.123569	0.306313
12	125.000000	5.000000	-0.646583	1.016364
12	135.000000	5.000000	-1.220315	0.964929
12	145.000000	5.000000	-1.567521	33.945844
12	155.000000	5.000000	-1.006532	0.815577
12	165.000000	5.000000	-0.711780	1.055623
12	175.000000	5.000000	-0.121613	0.538763


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-16.523664	122.940467
13	25.000000	5.000000	-1.024150	0.345246
13	35.000000	5.000000	-0.250615	0.135251
13	45.000000	5.000000	-0.317578	0.079927
13	55.000000	5.000000	-0.231210	0.054857
13	65.000000	5.000000	-0.336999	0.049590
13	75.000000	5.000000	-0.284470	0.041855
13	85.000000	5.000000	-0.134587	0.040563
13	95.000000	5.000000	-0.194459	0.043159
13	105.000000	5.000000	-0.184213	0.044613
13	115.000000	5.000000	0.076757	0.055244
13	125.000000	5.000000	0.146388	0.067292
13	135.000000	5.000000	0.135821	0.086642
13	145.000000	5.000000	0.006440	0.128638
13	155.000000	5.000000	0.319961	0.231511
13	165.000000	5.000000	-0.153796	0.460817
13	175.000000	5.000000	1.736814	1.754792


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	-1.799041	3.091418
14	25.000000	5.000000	0.161034	0.206580
14	35.000000	5.000000	-0.246622	0.117247
14	45.000000	5.000000	-0.318010	0.068506
14	55.000000	5.000000	-0.280606	0.045422
14	65.000000	5.000000	-0.204758	0.038787
14	75.000000	5.000000	-0.251860	0.034749
14	85.000000	5.000000	-0.166508	0.032533
14	95.000000	5.000000	-0.153495	0.035192
14	105.000000	5.000000	-0.104300	0.037401
14	115.000000	5.000000	-0.045448	0.041771
14	125.000000	5.000000	0.088091	0.054192
14	135.000000	5.000000	0.182641	0.074725
14	145.000000	5.000000	-0.054836	0.106977
14	155.000000	5.000000	-0.053878	0.188871
