TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.000000	0.000000
0	25.000000	5.000000	3.484917	45.986161
0	35.000000	5.000000	2.188263	4.750651
0	45.000000	5.000000	-0.279128	0.138614
0	55.000000	5.000000	-0.148364	0.196189
0	65.000000	5.000000	-0.355807	0.132265
0	75.000000	5.000000	-0.156881	0.096198
0	85.000000	5.000000	-0.190602	0.089630
0	95.000000	5.000000	-0.109151	0.075104
0	105.000000	5.000000	-0.089509	0.088625
0	115.000000	5.000000	0.051329	0.152945
0	125.000000	5.000000	0.382690	0.282069
0	135.000000	5.000000	0.147221	0.141427
0	145.000000	5.000000	3.468074	3.384523
0	155.000000	5.000000	-0.299362	0.793580
0	165.000000	5.000000	-1.513819	1.818454
0	175.000000	5.000000	-0.872672	1.125914


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.288035	0.739632
1	25.000000	5.000000	0.814147	2.020523
1	35.000000	5.000000	-0.553386	0.240454
1	45.000000	5.000000	-0.263410	0.142906
1	55.000000	5.000000	-0.484996	0.120289
1	65.000000	5.000000	-0.390315	0.087135
1	75.000000	5.000000	-0.405157	0.086452
1	85.000000	5.000000	-0.179291	0.066346
1	95.000000	5.000000	-0.480857	0.082426
1	105.000000	5.000000	-0.311690	0.095015
1	115.000000	5.000000	-0.060086	0.123987
1	125.000000	5.000000	0.116191	0.142940
1	135.000000	5.000000	-0.512954	0.195964
1	145.000000	5.000000	1.068388	0.502230
1	155.000000	5.000000	0.958110	2.132575
1	165.000000	5.000000	2.336518	2.192427
1	175.000000	5.000000	12.316878	96.198549


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	-0.065744	0.791643
2	25.000000	5.000000	0.124677	0.408767
2	35.000000	5.000000	-0.368006	0.197103
2	45.000000	5.000000	-0.561455	0.127241
2	55.000000	5.000000	-0.254889	0.075707
2	65.000000	5.000000	-0.331562	0.067258
2	75.000000	5.000000	-0.202839	0.059258
2	85.000000	5.000000	-0.269945	0.055175
2	95.000000	5.000000	-0.244304	0.062163
2	105.000000	5.000000	-0.082538	0.062546
2	115.000000	5.000000	-0.199515	0.075923
2	125.000000	5.000000	0.064541	0.089753
2	135.000000	5.000000	0.007112	0.120603
2	145.000000	5.000000	0.079751	0.237131
2	155.000000	5.000000	0.743259	0.395777
2	165.000000	5.000000	-0.005388	0.407079
2	175.000000	5.000000	2.003926	2.207449


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	-0.404773	1.590356
4	35.000000	5.000000	-1.312879	10.132294
4	45.000000	5.000000	-0.200729	0.228845
4	55.000000	5.000000	-0.238645	0.235476
4	65.000000	5.000000	-0.563947	0.525087
4	75.000000	5.000000	0.547085	0.606284
4	85.000000	5.000000	-0.558573	1.001423
4	95.000000	5.000000	-3.004114	11.579068
4	105.000000	5.000000	0.802989	7.326963
4	115.000000	5.000000	0.256619	0.320684
4	125.000000	5.000000	0.066765	0.119211
4	135.000000	5.000000	0.552869	1.145590
4	145.000000	5.000000	1.421661	6.789890
4	155.000000	5.000000	0.549256	1.111544
4	165.000000	5.000000	0.012106	0.052033
4	175.000000	5.000000	2.917046	30.069753


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-0.455713	1.508478
5	25.000000	5.000000	-0.222469	0.404366
5	35.000000	5.000000	-0.288618	0.219864
5	45.000000	5.000000	-0.360736	0.104683
5	55.000000	5.000000	-0.417222	0.083184
5	65.000000	5.000000	-0.488951	0.065500
5	75.000000	5.000000	-0.379072	0.053605
5	85.000000	5.000000	-0.277591	0.049615
5	95.000000	5.000000	-0.083952	0.052943
5	105.000000	5.000000	-0.034305	0.054697
5	115.000000	5.000000	-0.017984	0.065331
5	125.000000	5.000000	0.047440	0.091333
5	135.000000	5.000000	0.402379	0.135927
5	145.000000	5.000000	-0.020361	0.212766
5	155.000000	5.000000	0.633136	0.326231
5	165.000000	5.000000	2.673996	3.282107
5	175.000000	5.000000	0.202682	0.575811


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-0.793262	12.912081
6	25.000000	5.000000	0.194100	0.400321
6	35.000000	5.000000	-0.295563	0.133335
6	45.000000	5.000000	-0.233750	0.088512
6	55.000000	5.000000	-0.372156	0.065474
6	65.000000	5.000000	-0.420173	0.079041
6	75.000000	5.000000	-0.252772	0.047910
6	85.000000	5.000000	-0.166078	0.048786
6	95.000000	5.000000	-0.305351	0.050583
6	105.000000	5.000000	-0.085570	0.053837
6	115.000000	5.000000	0.088880	0.061827
6	125.000000	5.000000	-0.194685	0.089236
6	135.000000	5.000000	0.247308	0.108811
6	145.000000	5.000000	-0.017320	0.180686
6	155.000000	5.000000	0.632778	0.376383
6	165.000000	5.000000	0.421605	1.280023
6	175.000000	5.000000	-0.167119	0.333834


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-1.681636	1.837593
7	25.000000	5.000000	-0.700755	0.390137
7	35.000000	5.000000	-0.351991	0.218981
7	45.000000	5.000000	-0.420089	0.121088
7	55.000000	5.000000	-0.469055	0.083360
7	65.000000	5.000000	-0.233380	0.062022
7	75.000000	5.000000	-0.355348	0.065633
7	85.000000	5.000000	-0.310106	0.059935
7	95.000000	5.000000	-0.247489	0.056490
7	105.000000	5.000000	-0.051519	0.061512
7	115.000000	5.000000	0.121434	0.070323
7	125.000000	5.000000	0.024081	0.094713
7	135.000000	5.000000	-0.004079	0.133444
7	145.000000	5.000000	-0.120312	0.274188
7	155.000000	5.000000	0.566840	0.510923
7	165.000000	5.000000	1.093684	2.750839
7	175.000000	5.000000	4.625603	36.165711


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-1.331995	1.687435
8	25.000000	5.000000	0.134220	0.275706
8	35.000000	5.000000	-0.781001	0.201819
8	45.000000	5.000000	-0.470795	0.105772
8	55.000000	5.000000	-0.413840	0.072919
8	65.000000	5.000000	-0.384090	0.059556
8	75.000000	5.000000	-0.299649	0.053256
8	85.000000	5.000000	-0.167064	0.046857
8	95.000000	5.000000	-0.290040	0.050614
8	105.000000	5.000000	-0.245120	0.056869
8	115.000000	5.000000	0.008712	0.066658
8	125.000000	5.000000	-0.069221	0.074800
8	135.000000	5.000000	0.241941	0.107984
8	145.000000	5.000000	0.582820	0.164623
8	155.000000	5.000000	-0.256507	0.307550
8	165.000000	5.000000	0.201682	0.452042
8	175.000000	5.000000	-93.423149	7715.848254


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	7.818197	8.376290
9	25.000000	5.000000	1.356249	1.323988
9	35.000000	5.000000	-0.026179	0.178861
9	45.000000	5.000000	-0.461921	0.300762
9	55.000000	5.000000	-0.235881	0.222233
9	65.000000	5.000000	-0.175915	0.099184
9	75.000000	5.000000	-0.294944	0.088478
9	85.000000	5.000000	-0.095101	0.095412
9	95.000000	5.000000	-0.028582	0.102986
9	105.000000	5.000000	-0.225263	0.155416
9	115.000000	5.000000	-0.033321	0.109204
9	125.000000	5.000000	0.043740	0.102959
9	135.000000	5.000000	0.233986	0.213672
9	145.000000	5.000000	0.459449	0.310866
9	155.000000	5.000000	0.864555	0.842082
9	165.000000	5.000000	-14.949652	349.026803
9	175.000000	5.000000	0.290893	0.544135


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	2.346993	3.274197
10	35.000000	5.000000	-0.265475	0.325114
10	45.000000	5.000000	-0.372917	0.244684
10	55.000000	5.000000	-0.498231	0.271534
10	65.000000	5.000000	-0.192752	0.089045
10	75.000000	5.000000	-0.251891	0.147638
10	85.000000	5.000000	-0.377485	0.101363
10	95.000000	5.000000	-0.322690	0.147727
10	105.000000	5.000000	-0.082108	0.097488
10	115.000000	5.000000	0.225877	0.126381
10	125.000000	5.000000	0.138903	0.187543
10	135.000000	5.000000	0.047686	0.145206
10	145.000000	5.000000	0.316797	0.245520
10	155.000000	5.000000	17.216131	192.120384
10	165.000000	5.000000	-3.767883	22.532192
10	175.000000	5.000000	0.280572	0.425648


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.742891	1.214995
11	25.000000	5.000000	0.350811	0.438040
11	35.000000	5.000000	-1.440059	1.117365
11	45.000000	5.000000	-1.341416	20.401863
11	55.000000	5.000000	-0.451055	0.212794
11	65.000000	5.000000	-11.896083	68.328036
11	75.000000	5.000000	-1.137685	2.126897
11	85.000000	5.000000	5.432005	109.948882
11	95.000000	5.000000	-0.144142	0.132866
11	105.000000	5.000000	0.337597	0.943082
11	115.000000	5.000000	-0.206174	0.257748
11	125.000000	5.000000	-0.117623	0.163586
11	135.000000	5.000000	-0.046094	0.178979
11	145.000000	5.000000	-0.678909	1.628352
11	155.000000	5.000000	-0.777806	1.253700
11	165.000000	5.000000	0.323483	0.293674
11	175.000000	5.000000	-0.150344	0.231586


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	655.218296	206122.304147
12	35.000000	5.000000	-0.695369	1.393616
12	45.000000	5.000000	-0.304117	0.446437
12	55.000000	5.000000	-11.532294	61.838796
12	65.000000	5.000000	-9.364981	65.130932
12	75.000000	5.000000	-3.180964	5.647767
12	85.000000	5.000000	2.382612	4.511543
12	95.000000	5.000000	-0.626937	0.343858
12	105.000000	5.000000	-0.815222	0.600311
12	115.000000	5.000000	0.701954	1.025052
12	125.000000	5.000000	-0.246289	0.314727
12	135.000000	5.000000	-1.247055	0.803403
12	145.000000	5.000000	0.019654	0.445261
12	155.000000	5.000000	4.782673	13.922583
12	165.000000	5.000000	-0.382904	0.353142
12	175.000000	5.000000	0.016352	0.584871


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	-8.056128	10.427210
13	25.000000	5.000000	-1.123236	0.431557
13	35.000000	5.000000	-0.161525	0.169222
13	45.000000	5.000000	-0.226853	0.098656
13	55.000000	5.000000	-0.381206	0.072389
13	65.000000	5.000000	-0.410530	0.062547
13	75.000000	5.000000	-0.288030	0.051467
13	85.000000	5.000000	-0.170763	0.048183
13	95.000000	5.000000	-0.215749	0.052252
13	105.000000	5.000000	-0.265366	0.055154
13	115.000000	5.000000	0.110943	0.066679
13	125.000000	5.000000	0.166186	0.076778
13	135.000000	5.000000	0.068027	0.114106
13	145.000000	5.000000	0.001435	0.165349
13	155.000000	5.000000	0.185626	0.301290
13	165.000000	5.000000	-0.170587	0.697217
13	175.000000	5.000000	3.183078	5.656674


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	0.574064	1.026919
14	25.000000	5.000000	0.438296	0.313589
14	35.000000	5.000000	0.078088	0.155079
14	45.000000	5.000000	-0.345366	0.086781
14	55.000000	5.000000	-0.402641	0.055563
14	65.000000	5.000000	-0.264823	0.049805
14	75.000000	5.000000	-0.219922	0.042348
14	85.000000	5.000000	-0.238942	0.039412
14	95.000000	5.000000	-0.156465	0.042028
14	105.000000	5.000000	-0.110575	0.044991
14	115.000000	5.000000	-0.114036	0.050403
14	125.000000	5.000000	0.052162	0.066496
14	135.000000	5.000000	0.208928	0.099632
14	145.000000	5.000000	-0.047881	0.132320
14	155.000000	5.000000	-0.219117	0.260751
