TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	0.000000	0.000000
0	25.000000	5.000000	0.000000	0.000000
0	35.000000	5.000000	0.000000	0.000000
0	45.000000	5.000000	0.000000	0.000000
0	55.000000	5.000000	0.000000	0.000000
0	65.000000	5.000000	0.000000	0.000000
0	75.000000	5.000000	0.000000	0.000000
0	85.000000	5.000000	0.000000	0.000000
0	95.000000	5.000000	0.000000	0.000000
0	105.000000	5.000000	0.000000	0.000000
0	115.000000	5.000000	0.000000	0.000000
0	125.000000	5.000000	0.000000	0.000000
0	135.000000	5.000000	0.000000	0.000000
0	145.000000	5.000000	0.000000	0.000000
0	155.000000	5.000000	0.000000	0.000000
0	165.000000	5.000000	0.000000	0.000000
0	175.000000	5.000000	0.000000	0.000000


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	-0.105608	0.719678
1	25.000000	5.000000	0.641650	1.692750
1	35.000000	5.000000	-0.225658	0.220276
1	45.000000	5.000000	-0.189238	0.112212
1	55.000000	5.000000	-0.432915	0.096139
1	65.000000	5.000000	-0.189109	0.075535
1	75.000000	5.000000	-0.286081	0.066963
1	85.000000	5.000000	-0.263165	0.058253
1	95.000000	5.000000	-0.296598	0.066689
1	105.000000	5.000000	-0.217312	0.073248
1	115.000000	5.000000	-0.015154	0.092738
1	125.000000	5.000000	0.080246	0.114202
1	135.000000	5.000000	-0.482659	0.160919
1	145.000000	5.000000	0.530672	0.225640
1	155.000000	5.000000	0.098634	0.583553
1	165.000000	5.000000	1.857463	2.163993
1	175.000000	5.000000	-4.769074	17.132794


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	2.382918	11.239477
2	25.000000	5.000000	0.199692	0.304373
2	35.000000	5.000000	-0.138154	0.144019
2	45.000000	5.000000	-0.219187	0.089974
2	55.000000	5.000000	-0.171856	0.058749
2	65.000000	5.000000	-0.225604	0.053396
2	75.000000	5.000000	-0.201990	0.048261
2	85.000000	5.000000	-0.265457	0.045531
2	95.000000	5.000000	-0.191798	0.047290
2	105.000000	5.000000	-0.064904	0.048484
2	115.000000	5.000000	-0.163689	0.059935
2	125.000000	5.000000	0.027429	0.071313
2	135.000000	5.000000	-0.079079	0.092985
2	145.000000	5.000000	0.125383	0.178046
2	155.000000	5.000000	0.494415	0.278096
2	165.000000	5.000000	1.057566	0.550211
2	175.000000	5.000000	2.630630	2.294224


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	0.000000	0.000000
4	25.000000	5.000000	0.000000	0.000000
4	35.000000	5.000000	0.000000	0.000000
4	45.000000	5.000000	0.000000	0.000000
4	55.000000	5.000000	0.000000	0.000000
4	65.000000	5.000000	0.000000	0.000000
4	75.000000	5.000000	0.000000	0.000000
4	85.000000	5.000000	0.000000	0.000000
4	95.000000	5.000000	0.000000	0.000000
4	105.000000	5.000000	0.000000	0.000000
4	115.000000	5.000000	0.000000	0.000000
4	125.000000	5.000000	0.000000	0.000000
4	135.000000	5.000000	0.000000	0.000000
4	145.000000	5.000000	0.000000	0.000000
4	155.000000	5.000000	0.000000	0.000000
4	165.000000	5.000000	0.000000	0.000000
4	175.000000	5.000000	0.000000	0.000000


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-3.501261	4.476972
5	25.000000	5.000000	-0.201811	0.332810
5	35.000000	5.000000	-0.433645	0.171144
5	45.000000	5.000000	-0.196405	0.079300
5	55.000000	5.000000	-0.345238	0.064004
5	65.000000	5.000000	-0.280194	0.047615
5	75.000000	5.000000	-0.255835	0.044574
5	85.000000	5.000000	-0.226240	0.041091
5	95.000000	5.000000	-0.086836	0.045409
5	105.000000	5.000000	-0.076971	0.045012
5	115.000000	5.000000	0.000884	0.053277
5	125.000000	5.000000	0.021628	0.068993
5	135.000000	5.000000	0.198144	0.092872
5	145.000000	5.000000	0.047011	0.172587
5	155.000000	5.000000	0.786593	0.297819
5	165.000000	5.000000	2.091615	1.860195
5	175.000000	5.000000	0.326613	0.499247


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-4.043233	12.115607
6	25.000000	5.000000	-0.917237	0.698218
6	35.000000	5.000000	-0.219670	0.105285
6	45.000000	5.000000	-0.212573	0.072057
6	55.000000	5.000000	-0.258203	0.050235
6	65.000000	5.000000	-0.326993	0.057973
6	75.000000	5.000000	-0.271866	0.040870
6	85.000000	5.000000	-0.216847	0.041641
6	95.000000	5.000000	-0.239843	0.040426
6	105.000000	5.000000	-0.139437	0.042116
6	115.000000	5.000000	0.021285	0.049651
6	125.000000	5.000000	-0.009801	0.062854
6	135.000000	5.000000	0.271527	0.088982
6	145.000000	5.000000	0.258519	0.109828
6	155.000000	5.000000	0.228148	0.178904
6	165.000000	5.000000	-2.386752	5.024084
6	175.000000	5.000000	-0.638988	0.443913


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-0.117972	0.595369
7	25.000000	5.000000	-0.068371	0.336263
7	35.000000	5.000000	0.140768	0.152081
7	45.000000	5.000000	-0.375177	0.096051
7	55.000000	5.000000	-0.390826	0.066172
7	65.000000	5.000000	-0.268029	0.053058
7	75.000000	5.000000	-0.251363	0.053314
7	85.000000	5.000000	-0.331834	0.048733
7	95.000000	5.000000	-0.273107	0.046599
7	105.000000	5.000000	-0.070221	0.048031
7	115.000000	5.000000	0.081326	0.056991
7	125.000000	5.000000	0.040694	0.076511
7	135.000000	5.000000	0.148458	0.104811
7	145.000000	5.000000	0.340160	0.186760
7	155.000000	5.000000	0.503983	0.309462
7	165.000000	5.000000	0.126320	4.615623
7	175.000000	5.000000	-6.060560	13.351103


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-3.678685	34.426114
8	25.000000	5.000000	0.100519	0.271044
8	35.000000	5.000000	-0.443629	0.135997
8	45.000000	5.000000	-0.469471	0.084472
8	55.000000	5.000000	-0.266175	0.056314
8	65.000000	5.000000	-0.315574	0.048286
8	75.000000	5.000000	-0.294741	0.042562
8	85.000000	5.000000	-0.155222	0.039564
8	95.000000	5.000000	-0.239647	0.041637
8	105.000000	5.000000	-0.254709	0.043931
8	115.000000	5.000000	-0.017587	0.054438
8	125.000000	5.000000	-0.030142	0.064193
8	135.000000	5.000000	0.169225	0.086672
8	145.000000	5.000000	0.401405	0.129649
8	155.000000	5.000000	0.048241	0.250380
8	165.000000	5.000000	0.507911	0.457448
8	175.000000	5.000000	-0.548010	4.821742


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	0.000000	0.000000
9	25.000000	5.000000	0.000000	0.000000
9	35.000000	5.000000	0.000000	0.000000
9	45.000000	5.000000	0.000000	0.000000
9	55.000000	5.000000	0.000000	0.000000
9	65.000000	5.000000	0.000000	0.000000
9	75.000000	5.000000	0.000000	0.000000
9	85.000000	5.000000	0.000000	0.000000
9	95.000000	5.000000	0.000000	0.000000
9	105.000000	5.000000	0.000000	0.000000
9	115.000000	5.000000	0.000000	0.000000
9	125.000000	5.000000	0.000000	0.000000
9	135.000000	5.000000	0.000000	0.000000
9	145.000000	5.000000	0.000000	0.000000
9	155.000000	5.000000	0.000000	0.000000
9	165.000000	5.000000	0.000000	0.000000
9	175.000000	5.000000	0.000000	0.000000


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	1.273005	1.742103
10	35.000000	5.000000	-0.374307	0.305671
10	45.000000	5.000000	-0.274284	0.174972
10	55.000000	5.000000	-0.168024	0.142892
10	65.000000	5.000000	-0.231103	0.094613
10	75.000000	5.000000	-0.384438	0.113267
10	85.000000	5.000000	-0.381884	0.086249
10	95.000000	5.000000	-0.374664	0.118918
10	105.000000	5.000000	-0.215685	0.091661
10	115.000000	5.000000	0.056589	0.084805
10	125.000000	5.000000	-0.117209	0.152199
10	135.000000	5.000000	-0.043003	0.082600
10	145.000000	5.000000	0.346311	0.266801
10	155.000000	5.000000	-0.062423	0.484815
10	165.000000	5.000000	-52.573090	2364.937598
10	175.000000	5.000000	0.491453	1.421693


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.000000	0.000000
11	25.000000	5.000000	0.000000	0.000000
11	35.000000	5.000000	0.000000	0.000000
11	45.000000	5.000000	0.000000	0.000000
11	55.000000	5.000000	0.000000	0.000000
11	65.000000	5.000000	0.000000	0.000000
11	75.000000	5.000000	0.000000	0.000000
11	85.000000	5.000000	0.000000	0.000000
11	95.000000	5.000000	0.000000	0.000000
11	105.000000	5.000000	0.000000	0.000000
11	115.000000	5.000000	0.000000	0.000000
11	125.000000	5.000000	0.000000	0.000000
11	135.000000	5.000000	0.000000	0.000000
11	145.000000	5.000000	0.000000	0.000000
11	155.000000	5.000000	0.000000	0.000000
11	165.000000	5.000000	0.000000	0.000000
11	175.000000	5.000000	0.000000	0.000000


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	0.000000	0.000000
12	25.000000	5.000000	0.000000	0.000000
12	35.000000	5.000000	0.000000	0.000000
12	45.000000	5.000000	0.000000	0.000000
12	55.000000	5.000000	0.000000	0.000000
12	65.000000	5.000000	0.000000	0.000000
12	75.000000	5.000000	0.000000	0.000000
12	85.000000	5.000000	0.000000	0.000000
12	95.000000	5.000000	0.000000	0.000000
12	105.000000	5.000000	0.000000	0.000000
12	115.000000	5.000000	0.000000	0.000000
12	125.000000	5.000000	0.000000	0.000000
12	135.000000	5.000000	0.000000	0.000000
12	145.000000	5.000000	0.000000	0.000000
12	155.000000	5.000000	0.000000	0.000000
12	165.000000	5.000000	0.000000	0.000000
12	175.000000	5.000000	0.000000	0.000000


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	2.353146	4.789348
13	25.000000	5.000000	-0.977754	0.362249
13	35.000000	5.000000	-0.128210	0.127833
13	45.000000	5.000000	-0.322609	0.078134
13	55.000000	5.000000	-0.188730	0.054936
13	65.000000	5.000000	-0.368593	0.050447
13	75.000000	5.000000	-0.272359	0.040161
13	85.000000	5.000000	-0.165055	0.040171
13	95.000000	5.000000	-0.172986	0.041421
13	105.000000	5.000000	-0.168009	0.042727
13	115.000000	5.000000	0.067895	0.054481
13	125.000000	5.000000	0.100648	0.065680
13	135.000000	5.000000	0.108640	0.083711
13	145.000000	5.000000	0.102382	0.125155
13	155.000000	5.000000	0.306052	0.226963
13	165.000000	5.000000	0.343557	0.513814
13	175.000000	5.000000	2.733578	2.581562


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	-1.625833	1.324087
14	25.000000	5.000000	0.143990	0.211482
14	35.000000	5.000000	-0.472537	0.118533
14	45.000000	5.000000	-0.295333	0.066226
14	55.000000	5.000000	-0.267269	0.046013
14	65.000000	5.000000	-0.159873	0.037964
14	75.000000	5.000000	-0.186167	0.033611
14	85.000000	5.000000	-0.123176	0.032136
14	95.000000	5.000000	-0.124454	0.033952
14	105.000000	5.000000	-0.101344	0.036502
14	115.000000	5.000000	-0.027810	0.040412
14	125.000000	5.000000	0.066873	0.052213
14	135.000000	5.000000	0.117445	0.071706
14	145.000000	5.000000	-0.028175	0.113522
14	155.000000	5.000000	0.040620	0.175625
14	165.000000	5.000000	-0.191284	0.343379
14	175.000000	5.000000	0.510382	0.666396


