TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.000000	0.000000
0	15.000000	5.000000	-1.554124	2.581324
0	25.000000	5.000000	-0.605462	0.759619
0	35.000000	5.000000	-0.157645	3.104310
0	45.000000	5.000000	-0.241734	0.110677
0	55.000000	5.000000	-0.182707	0.122689
0	65.000000	5.000000	-0.322061	0.111500
0	75.000000	5.000000	-0.284981	0.099274
0	85.000000	5.000000	-0.127361	0.086366
0	95.000000	5.000000	-0.092464	0.071354
0	105.000000	5.000000	0.002902	0.080955
0	115.000000	5.000000	0.025557	0.155746
0	125.000000	5.000000	-0.062435	0.222197
0	135.000000	5.000000	0.378445	0.168157
0	145.000000	5.000000	2.978910	4.761296
0	155.000000	5.000000	-1.070206	1.012979
0	165.000000	5.000000	-1.625457	2.653503
0	175.000000	5.000000	-0.598778	0.685477


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	0.491479	0.866155
1	25.000000	5.000000	3.258279	4.618794
1	35.000000	5.000000	-0.569139	0.263873
1	45.000000	5.000000	-0.150997	0.125880
1	55.000000	5.000000	-0.399371	0.105783
1	65.000000	5.000000	-0.106705	0.084090
1	75.000000	5.000000	-0.271965	0.074723
1	85.000000	5.000000	-0.229334	0.064789
1	95.000000	5.000000	-0.338332	0.075314
1	105.000000	5.000000	-0.190337	0.081840
1	115.000000	5.000000	-0.034460	0.104741
1	125.000000	5.000000	0.109438	0.129546
1	135.000000	5.000000	-0.498301	0.179972
1	145.000000	5.000000	0.422271	0.241294
1	155.000000	5.000000	-0.393841	0.712414
1	165.000000	5.000000	1.635808	2.003708
1	175.000000	5.000000	-3.774429	14.328722


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	1.753901	6.879651
2	25.000000	5.000000	0.351039	0.343004
2	35.000000	5.000000	-0.104601	0.161327
2	45.000000	5.000000	-0.226660	0.100706
2	55.000000	5.000000	-0.159955	0.065661
2	65.000000	5.000000	-0.261404	0.060230
2	75.000000	5.000000	-0.177495	0.054059
2	85.000000	5.000000	-0.228610	0.050639
2	95.000000	5.000000	-0.207190	0.053059
2	105.000000	5.000000	-0.062750	0.054250
2	115.000000	5.000000	-0.122477	0.066826
2	125.000000	5.000000	-0.013977	0.079671
2	135.000000	5.000000	-0.079372	0.103733
2	145.000000	5.000000	0.134999	0.198493
2	155.000000	5.000000	0.525624	0.310690
2	165.000000	5.000000	1.198373	0.631733
2	175.000000	5.000000	1.583254	1.708832


3	5.000000	5.000000	0.000000	0.000000
3	15.000000	5.000000	0.000000	0.000000
3	25.000000	5.000000	0.000000	0.000000
3	35.000000	5.000000	0.000000	0.000000
3	45.000000	5.000000	0.000000	0.000000
3	55.000000	5.000000	0.000000	0.000000
3	65.000000	5.000000	0.000000	0.000000
3	75.000000	5.000000	0.000000	0.000000
3	85.000000	5.000000	0.000000	0.000000
3	95.000000	5.000000	0.000000	0.000000
3	105.000000	5.000000	0.000000	0.000000
3	115.000000	5.000000	0.000000	0.000000
3	125.000000	5.000000	0.000000	0.000000
3	135.000000	5.000000	0.000000	0.000000
3	145.000000	5.000000	0.000000	0.000000
3	155.000000	5.000000	0.000000	0.000000
3	165.000000	5.000000	0.000000	0.000000
3	175.000000	5.000000	0.000000	0.000000


4	5.000000	5.000000	0.000000	0.000000
4	15.000000	5.000000	1.252512	1.341502
4	25.000000	5.000000	-5.329731	55.785223
4	35.000000	5.000000	6.363403	41.440377
4	45.000000	5.000000	-0.321571	0.251016
4	55.000000	5.000000	-0.220936	0.134083
4	65.000000	5.000000	-1.840531	3.683181
4	75.000000	5.000000	0.236744	0.281264
4	85.000000	5.000000	-0.069863	0.135813
4	95.000000	5.000000	1.423573	2.916774
4	105.000000	5.000000	-0.242584	0.264203
4	115.000000	5.000000	0.198720	0.209145
4	125.000000	5.000000	0.140108	0.161684
4	135.000000	5.000000	0.009380	0.234738
4	145.000000	5.000000	0.452939	1.210262
4	155.000000	5.000000	0.127125	0.122405
4	165.000000	5.000000	0.059559	0.066403
4	175.000000	5.000000	0.110129	0.272209


5	5.000000	5.000000	0.000000	0.000000
5	15.000000	5.000000	-2.216862	3.054756
5	25.000000	5.000000	-0.174039	0.374178
5	35.000000	5.000000	-0.615045	0.203571
5	45.000000	5.000000	-0.224541	0.089583
5	55.000000	5.000000	-0.359494	0.071491
5	65.000000	5.000000	-0.243420	0.052281
5	75.000000	5.000000	-0.278560	0.050116
5	85.000000	5.000000	-0.233952	0.045971
5	95.000000	5.000000	-0.069710	0.050872
5	105.000000	5.000000	-0.072035	0.050838
5	115.000000	5.000000	-0.019307	0.059809
5	125.000000	5.000000	0.045879	0.077795
5	135.000000	5.000000	0.251255	0.105073
5	145.000000	5.000000	0.181752	0.203660
5	155.000000	5.000000	0.493802	0.270942
5	165.000000	5.000000	2.514286	2.257358
5	175.000000	5.000000	0.146547	0.505384


6	5.000000	5.000000	0.000000	0.000000
6	15.000000	5.000000	-5.109233	15.246476
6	25.000000	5.000000	-0.784766	0.715078
6	35.000000	5.000000	-0.179861	0.115918
6	45.000000	5.000000	-0.195232	0.079717
6	55.000000	5.000000	-0.282964	0.056330
6	65.000000	5.000000	-0.327609	0.064285
6	75.000000	5.000000	-0.245379	0.044750
6	85.000000	5.000000	-0.196174	0.046126
6	95.000000	5.000000	-0.256994	0.045105
6	105.000000	5.000000	-0.120663	0.046992
6	115.000000	5.000000	0.123526	0.056581
6	125.000000	5.000000	-0.022533	0.070346
6	135.000000	5.000000	0.347972	0.101619
6	145.000000	5.000000	0.166586	0.117728
6	155.000000	5.000000	0.455641	0.224693
6	165.000000	5.000000	-1.644538	4.714742
6	175.000000	5.000000	-0.808800	0.543236


7	5.000000	5.000000	0.000000	0.000000
7	15.000000	5.000000	-0.186015	0.663956
7	25.000000	5.000000	-0.325537	0.384666
7	35.000000	5.000000	0.256177	0.173880
7	45.000000	5.000000	-0.440725	0.109314
7	55.000000	5.000000	-0.411940	0.074794
7	65.000000	5.000000	-0.166837	0.059117
7	75.000000	5.000000	-0.232038	0.060041
7	85.000000	5.000000	-0.313575	0.054512
7	95.000000	5.000000	-0.301878	0.052715
7	105.000000	5.000000	-0.004650	0.054271
7	115.000000	5.000000	0.119703	0.064292
7	125.000000	5.000000	-0.004869	0.086678
7	135.000000	5.000000	0.154304	0.117921
7	145.000000	5.000000	0.412162	0.212895
7	155.000000	5.000000	0.441053	0.341138
7	165.000000	5.000000	-0.511634	8.398127
7	175.000000	5.000000	-8.795501	21.276362


8	5.000000	5.000000	0.000000	0.000000
8	15.000000	5.000000	-0.165476	8.425002
8	25.000000	5.000000	0.085025	0.305589
8	35.000000	5.000000	-0.406558	0.151349
8	45.000000	5.000000	-0.434124	0.093564
8	55.000000	5.000000	-0.291991	0.063152
8	65.000000	5.000000	-0.315076	0.053973
8	75.000000	5.000000	-0.304798	0.047582
8	85.000000	5.000000	-0.117041	0.044100
8	95.000000	5.000000	-0.235607	0.046492
8	105.000000	5.000000	-0.243617	0.048984
8	115.000000	5.000000	-0.051061	0.060832
8	125.000000	5.000000	-0.029521	0.071681
8	135.000000	5.000000	0.166739	0.096788
8	145.000000	5.000000	0.457872	0.145070
8	155.000000	5.000000	-0.129112	0.278984
8	165.000000	5.000000	0.239564	0.489167
8	175.000000	5.000000	-2.133782	7.816967


9	5.000000	5.000000	0.000000	0.000000
9	15.000000	5.000000	1.334177	22.430643
9	25.000000	5.000000	0.059067	0.566670
9	35.000000	5.000000	0.022310	0.161871
9	45.000000	5.000000	-0.748602	0.316790
9	55.000000	5.000000	-0.113078	0.163003
9	65.000000	5.000000	-0.056710	0.111650
9	75.000000	5.000000	-0.213927	0.076270
9	85.000000	5.000000	-0.284233	0.114228
9	95.000000	5.000000	-0.035552	0.086631
9	105.000000	5.000000	-0.150744	0.122313
9	115.000000	5.000000	0.059882	0.089943
9	125.000000	5.000000	0.085479	0.099260
9	135.000000	5.000000	0.167169	0.170183
9	145.000000	5.000000	0.097736	0.242955
9	155.000000	5.000000	0.451762	0.501823
9	165.000000	5.000000	-4.325752	23.369512
9	175.000000	5.000000	-0.252516	2.076031


10	5.000000	5.000000	0.000000	0.000000
10	15.000000	5.000000	0.000000	0.000000
10	25.000000	5.000000	1.117532	1.848631
10	35.000000	5.000000	-0.047226	0.303676
10	45.000000	5.000000	-0.389143	0.221218
10	55.000000	5.000000	-0.113362	0.162687
10	65.000000	5.000000	-0.209793	0.106153
10	75.000000	5.000000	-0.377712	0.123995
10	85.000000	5.000000	-0.328742	0.089924
10	95.000000	5.000000	-0.335979	0.127461
10	105.000000	5.000000	-0.177484	0.101580
10	115.000000	5.000000	0.228661	0.107263
10	125.000000	5.000000	0.024506	0.172918
10	135.000000	5.000000	0.047741	0.096065
10	145.000000	5.000000	0.106745	0.249135
10	155.000000	5.000000	-0.186829	0.564670
10	165.000000	5.000000	59.805052	6233.750099
10	175.000000	5.000000	-0.986522	1.862327


11	5.000000	5.000000	0.000000	0.000000
11	15.000000	5.000000	0.351393	0.694580
11	25.000000	5.000000	1.163234	0.672565
11	35.000000	5.000000	-1.501969	1.221248
11	45.000000	5.000000	-0.068750	0.438837
11	55.000000	5.000000	-1.035170	0.851945
11	65.000000	5.000000	-1.794246	2.725659
11	75.000000	5.000000	-2.567145	5.398025
11	85.000000	5.000000	0.051353	0.296528
11	95.000000	5.000000	-0.325704	0.260375
11	105.000000	5.000000	1.808832	5.228584
11	115.000000	5.000000	-0.338651	0.433839
11	125.000000	5.000000	-0.053931	0.191471
11	135.000000	5.000000	-0.071240	0.120125
11	145.000000	5.000000	-1.387274	2.684593
11	155.000000	5.000000	6.191290	358.334940
11	165.000000	5.000000	0.244224	0.975376
11	175.000000	5.000000	-0.261189	0.409890


12	5.000000	5.000000	0.000000	0.000000
12	15.000000	5.000000	-1.553432	1.379273
12	25.000000	5.000000	3.436616	5.365288
12	35.000000	5.000000	0.189291	0.416074
12	45.000000	5.000000	-0.028247	0.261963
12	55.000000	5.000000	-1.357314	0.997785
12	65.000000	5.000000	-3.692014	7.184208
12	75.000000	5.000000	-2.937562	5.070038
12	85.000000	5.000000	1.553669	2.698629
12	95.000000	5.000000	-1.440745	1.104840
12	105.000000	5.000000	-0.964449	2.446110
12	115.000000	5.000000	0.329060	0.450321
12	125.000000	5.000000	-10.841864	637.112558
12	135.000000	5.000000	-1.432606	1.419052
12	145.000000	5.000000	-1.860479	8.884744
12	155.000000	5.000000	-0.995651	0.706246
12	165.000000	5.000000	-0.361120	0.807645
12	175.000000	5.000000	0.358330	0.711397


13	5.000000	5.000000	0.000000	0.000000
13	15.000000	5.000000	2.239732	4.433286
13	25.000000	5.000000	-0.908949	0.400086
13	35.000000	5.000000	-0.139959	0.144162
13	45.000000	5.000000	-0.412697	0.088183
13	55.000000	5.000000	-0.207018	0.061815
13	65.000000	5.000000	-0.380487	0.056737
13	75.000000	5.000000	-0.286826	0.045162
13	85.000000	5.000000	-0.157080	0.045036
13	95.000000	5.000000	-0.165228	0.046534
13	105.000000	5.000000	-0.179667	0.047955
13	115.000000	5.000000	-0.012677	0.061185
13	125.000000	5.000000	-0.036924	0.073479
13	135.000000	5.000000	0.185660	0.094088
13	145.000000	5.000000	0.071775	0.140113
13	155.000000	5.000000	0.317720	0.255654
13	165.000000	5.000000	0.460807	0.583289
13	175.000000	5.000000	2.852721	2.974300


14	5.000000	5.000000	0.000000	0.000000
14	15.000000	5.000000	-0.850567	1.038554
14	25.000000	5.000000	0.104311	0.237075
14	35.000000	5.000000	-0.416703	0.130951
14	45.000000	5.000000	-0.222816	0.073510
14	55.000000	5.000000	-0.213623	0.051172
14	65.000000	5.000000	-0.129622	0.042502
14	75.000000	5.000000	-0.226502	0.037747
14	85.000000	5.000000	-0.087298	0.035902
14	95.000000	5.000000	-0.149988	0.038096
14	105.000000	5.000000	-0.083986	0.040818
14	115.000000	5.000000	-0.020972	0.045121
14	125.000000	5.000000	0.096662	0.058565
14	135.000000	5.000000	0.186264	0.080658
14	145.000000	5.000000	0.124406	0.127483
14	155.000000	5.000000	0.132580	0.197253
