TaggerCh	Theta	DTheta	Asym	DAsym

0	5.000000	5.000000	0.574759	0.674148
0	15.000000	5.000000	1.859380	4.519166
0	25.000000	5.000000	-0.196114	1.915821
0	35.000000	5.000000	-0.198040	0.270749
0	45.000000	5.000000	-0.087825	0.093824
0	55.000000	5.000000	-0.152445	0.117142
0	65.000000	5.000000	-0.309098	0.085349
0	75.000000	5.000000	-0.278678	0.068767
0	85.000000	5.000000	-0.213853	0.070903
0	95.000000	5.000000	-0.104243	0.061482
0	105.000000	5.000000	0.031494	0.069820
0	115.000000	5.000000	0.213147	0.109963
0	125.000000	5.000000	-0.154784	0.131651
0	135.000000	5.000000	0.449914	0.140141
0	145.000000	5.000000	1.248363	0.508612
0	155.000000	5.000000	-0.312476	0.179748
0	165.000000	5.000000	-0.703567	0.823719
0	175.000000	5.000000	-0.759436	0.971586


1	5.000000	5.000000	0.000000	0.000000
1	15.000000	5.000000	3.112180	1.285698
1	25.000000	5.000000	-0.123319	0.733189
1	35.000000	5.000000	-0.453234	0.159980
1	45.000000	5.000000	-0.206618	0.093894
1	55.000000	5.000000	-0.343257	0.074327
1	65.000000	5.000000	-0.151542	0.070006
1	75.000000	5.000000	-0.230641	0.057131
1	85.000000	5.000000	-0.321440	0.053706
1	95.000000	5.000000	-0.280930	0.059105
1	105.000000	5.000000	-0.296624	0.066294
1	115.000000	5.000000	0.009434	0.080691
1	125.000000	5.000000	-0.027493	0.102651
1	135.000000	5.000000	-0.275337	0.120911
1	145.000000	5.000000	0.542668	0.183108
1	155.000000	5.000000	0.913188	0.580133
1	165.000000	5.000000	1.324895	1.065389
1	175.000000	5.000000	-0.007533	3.351320


2	5.000000	5.000000	0.000000	0.000000
2	15.000000	5.000000	26.885696	16.286114
2	25.000000	5.000000	0.977479	0.327464
2	35.000000	5.000000	-0.313955	0.124424
2	45.000000	5.000000	-0.094396	0.077159
2	55.000000	5.000000	-0.123085	0.053126
2	65.000000	5.000000	-0.260845	0.048534
2	75.000000	5.000000	-0.147019	0.043895
2	85.000000	5.000000	-0.172583	0.040562
2	95.000000	5.000000	-0.130307	0.043788
2	105.000000	5.000000	-0.048658	0.046398
